FICHERO PCAP,App (Control de Aplicaciones)
T1001.002-Data_obfuscation_steganography_[4].pcapng,-
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,-
T1003-Os_credential_dumping_dcsync_[4].pcapng,-
T1008-Fallback_channels_[4].pcapng,-
T1011-Exfiltration_over_bluetooth_[4].pcapng,-
T1018-service_discovery_[3].pcapng,-
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng,-
T1021-remote_services_ssh_[3].pcapng,SSH
T1029-Scheduled_transfer_[4].pcapng,-
T1030-Transfer_Size_Limits_[5].pcapng,FTP
T1033-System_owner_[4].pcapng,-
T1039-Data_from_network_shared_drive_[4].pcapng,FTP - File Sharing
T1040-Autenticacion_[1].pcapng,-
T1040-Chopchop_[1].pcapng,-
T1040-Fragmentacion_[1].pcapng,-
T1040-Mac_flood_[1].pcapng,-
T1041-exfiltration_over_c2_channel_[3].pcapng,Web Browsing - Able to transfer file
T1046-C2018_[6].pcapng,-
T1046-Version_services_detection1_[3].pcapng,-
T1046-Version_services_detection2_[3].pcapng,"proto=""tcp"" app=""incomplete"""
T1047-WinRM_[2].pcapng,-
T1048.003-Exfiltration_over_FTP_[3].pcapng,FTP - File Sharing
T1048.003-Exfiltration_over_ICMP_[2].pcapng,Ping - Has Known Vulnerability
T1053.002-Scheduled_TaskJob_At_[5].pcapng,-
T1070-Indicator_removal_network_share_connection_removal_[4].pcapng,-
T1071-Tunel_[1].pcapng,DNS-base - used by malware
T1087.002-AccountDiscovery_DomainAccount_[5].pcapng,-
T1090-Proxy_internal_proxy_[4].pcapng,-
T1095-Non_Application_Layer_[3].pcapng,-
T1102.003-Web_service-one_way_communication_[4].pcapng,Google-base
T1104-Multi_stage_channels_[4].pcapng,-
T1105-Ingress_Tool_Transfer_[5].pcapng,FTP - File Sharing
T1110-Diccionario_[1].pcapng,-
T1110-pmkid_[1].pcapng,-
T1110-Ptw_korek_[1].pcapng,-
T1110-Wps_[1].pcapng,-
T1110.001-FTP-C2018_[6].pcapng,-
T1110.001-Hydra_[3].pcapng,-
T1110.001-SSH-C2018_[6].pcapng,SSH
T1112-Modify_registry_[4].pcapng,-
T1114-Email_collection_remote_email_collection_[4].pcapng,-
T1132.001-Standard_Encoding_[5].pcapng,-
T1133-External_remote_services_[4].pcapng,-
T1176-Browser-extension_[4].pcapng,internet-utility -- browser based
T1187-Forced_Authentication_[5].pcapng,-
T1187-Forced_Authentication2_[5].pcapng,-
T1189-Drive-by_compromise_v1_[4].pcapng,
T1189-Drive-by_compromise_v2_[4].pcapng,
T1190-Sql_injection-C2018_[6].pcapng,-
T1190-Sql_inyection1_[3].pcapng,-
T1190-Sql_inyection2_[2].pcapng,-
T1197-BITS_Jobs_[5].pcapng,-
T1199-Trusted_relationship_[4].pcapng,ms-rdp -- remote-access
T1200-Hardware_Additions_[5].pcapng,-
T1203-C2018_[6].pcapng,-
T1204.001-malicious_link_[3].pcapng,-
T1205.001-Port_Knocking_[3].pcapng,-
T1207-Rogue_domain_controller_[4].pcapng,-
T1210-Eternal_blue_[2].pcapng,-
T1210-Remote_code_execution_[2].pcapng,FTP - File Sharing
T1210-Web_attack-C2018_[6].pcapng,-
T1213-SQL_inyection_[3].pcapng,-
T1218.010-COM_Scriptlet_[2].pcapng,-
T1219-RemoteAccessSoftwareLocal_[5].pcapng,teamviewer-sharing -- remote-access
T1219-RemoteAccessSoftwareNAT_[5].pcapng,teamviewer-web -- remote access
T1221-Template_Injection_[5].pcapng,-
T1482-Domain_trust_discovery_[4].pcapng,-
T1491.001-Internal_Defacement_[5].pcapng,-
T1496-Cryptomining_[2].pcapng,-
T1498-Amplif_dns_[1].pcapng,dns-base -- infrastructure
T1498-Fraggle_[1].pcapng,-
T1498-Smurf_[1].pcapng,-
T1498-Tcbpdu_[1].pcapng,-
T1498.001-HTTP_flood-C2018_[6].pcapng,
T1498.001-MAC_table_flood_[3].pcapng,-
T1498.001-TCP_flood-C2018_[6].pcapng,-
T1498.001-UDP_flood_[2].pcapng,
T1498.001-UDP_flood_1-C2018_[6].pcapng,
T1498.001-UDP_flood_2-C2018_[6].pcapng,
