PCAP,ATTACKID,APP-CTRL,FP
T1001.002-Data_obfuscation_steganography_[4].pcapng,-,-,-
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,-,-,-
T1003-Os_credential_dumping_dcsync_[4].pcapng,-,53580,-
T1008-Fallback_channels_[4].pcapng,52169,-,-
T1011-Exfiltration_over_bluetooth_[4].pcapng,-,-,-
T1018-service_discovery_[3].pcapng,43814,-,-
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng,-,-,-
T1021-remote_services_ssh_[3].pcapng,,16060,-
T1029-Scheduled_transfer_[4].pcapng,52169,-,-
T1030-Transfer_Size_Limits_[5].pcapng,-,-,-
T1033-System_owner_[4].pcapng,-,-,-
T1039-Data_from_network_shared_drive_[4].pcapng,-,31834,-
T1040-Autenticacion_[1].pcapng,-,-,-
T1040-Chopchop_[1].pcapng,-,-,-
T1040-Fragmentacion_[1].pcapng,-,-,-
T1040-Mac_flood_[1].pcapng,-,-,-
T1041-exfiltration_over_c2_channel_[3].pcapng,-,18123,-
T1046-Version_services_detection1_[3].pcapng,"44780, 12648, 15229, 15463, 46767, 27560, 43336, 12015, 30908, 13106, 24975, 13011, 18057, 15621, 10574, 34971, 12577, 10181, 12758, 12709, 12979, 50825, 12980, 10003, 48010, 15117, 29613, 14946, 15091, 14950, 14857, 14956, 13825, 14947, 15115, 29615, 15100, 14740, 30542, 14157, 15092, 14949, 15118, 29564, 14742, 15110, 14230, 10819, 14737, 14953, 15114, 14341, 29614, 14948, 32033, 29965, 31752, 47202",-,-
T1046-Version_services_detection2_[3].pcapng,45360,-,-
T1046-C2018_[6].pcapng,12449,16267,-
T1047-WinRM_[2].pcapng,-,-,-
T1048.003-Exfiltration_over_ICMP_[2].pcapng,-,-,-
T1048.003-Exfiltration_over_FTP_[3].pcapng,-,-,-
T1053.002-Scheduled_TaskJob_At_[5].pcapng,52676,-,-
T1070-Indicator_removal_network_share_connection_removal_[4].pcapng,-,27457,-
T1071-Tunel_[1].pcapng,48370,-,-
T1087.002-AccountDiscovery_DomainAccount_[5].pcapng,52676,-,-
T1090-Proxy_internal_proxy_[4].pcapng,52169,-,-
T1095-Non_Application_Layer_[3].pcapng,52676,-,-
T1102.003-Web_service-one_way_communication_[4].pcapng,52169,42533,-
T1104-Multi_stage_channels_[4].pcapng,52169,-,-
T1105-Ingress_Tool_Transfer_[5].pcapng,8064362,-,-
T1110.001-Hydra_[3].pcapng,-,-,-
T1110.001-FTP-C2018_[6].pcapng,-,-,-
T1110.001-SSH-C2018_[6].pcapng,-,-,-
T1110-Wps_[1].pcapng,-,-,-
T1110-pmkid_[1].pcapng,-,-,-
T1110-Ptw_korek_[1].pcapng,-,-,-
T1110-Diccionario_[1].pcapng,-,-,-
T1112-Modify_registry_[4].pcapng,-,-,-
T1114-Email_collection_remote_email_collection_[4].pcapng,-,-,-
T1132.001-Standard_Encoding_[5].pcapng,-,-,-
T1133-External_remote_services_[4].pcapng,-,-,-
T1176-Browser-extension_[4].pcapng,-,-,-
T1187-Forced_Authentication_[5].pcapng,-,-,-
T1187-Forced_Authentication2_[5].pcapng,-,-,-
T1189-Drive-by_compromise_v1_[4].pcapng,49480,-,-
T1189-Drive-by_compromise_v2_[4].pcapng,-,-,-
T1190-Sql_inyection1_[3].pcapng,15621,-,-
T1190-Sql_inyection2_[2].pcapng,"46199, 15621",-,-
T1190-Sql_injection-C2018_[6].pcapng,15621,-,-
T1197-BITS_Jobs_[5].pcapng,-,-,-
T1199-Trusted_relationship_[4].pcapng,-,-,-
T1200-Hardware_Additions_[5].pcapng,-,-,-
T1203-C2018_[6].pcapng,-,-,-
T1204.001-malicious_link_[3].pcapng,-,-,-
T1205.001-Port_Knocking_[3].pcapng,-,-,-
T1207-Rogue_domain_controller_[4].pcapng,-,53580,-
T1210-Eternal_blue_[2].pcapng,"43799, 43963, 43796",-,-
T1210-Web_attack-C2018_[6].pcapng,-,-,-
T1210-Remote_code_execution_[2].pcapng,40511,-,-
T1213-SQL_inyection_[3].pcapng,-,-,-
T1218.010-COM_Scriptlet_[2].pcapng,-,-,-
