PCAP,ATTACKID,TP
T1595.003-Web_page_scanning1_[2].pcapng,9999,1
T1595.003-Web_page_scanning1_[2].pcapng,40129,1
T1595.003-Web_page_scanning1_[2].pcapng,56610,1
T1595.003-Web_page_scanning1_[2].pcapng,59420,1
T1595.003-Web_page_scanning2_[3].pcapng,9999,1
T1596.001-DNS_Transfer_[2].pcapng,33337,1
T1596.001-DNS_Transfer_[2].pcapng,35287,1
T1598.003-Spearphishing_Link_[5].pcapng,9999,1
T1598.003-Spearphishing_Link_[5].pcapng,56610,1
T1585.001-Establish_social_accounts_[4].pcapng,93031,1
T1585.001-Establish_social_accounts_[4].pcapng,9999,1
T1190-Sql_inyection2_[2].pcapng,9999,1
T1190-Sql_inyection2_[2].pcapng,30514,1
T1190-Sql_inyection2_[2].pcapng,31477,1
T1190-Sql_inyection2_[2].pcapng,32658,1
T1190-Sql_inyection2_[2].pcapng,33338,1
T1190-Sql_inyection2_[2].pcapng,35823,1
T1190-Sql_inyection2_[2].pcapng,36241,1
T1190-Sql_inyection2_[2].pcapng,36242,1
T1190-Sql_inyection2_[2].pcapng,36248,1
T1190-Sql_inyection2_[2].pcapng,38195,1
T1190-Sql_inyection2_[2].pcapng,54608,1
T1190-Sql_inyection2_[2].pcapng,57735,1
T1190-Sql_inyection2_[2].pcapng,58005,1
T1190-Sql_inyection2_[2].pcapng,59128,1
T1190-Sql_inyection2_[2].pcapng,91523,1
T1190-Sql_inyection2_[2].pcapng,91528,1
T1190-Sql_inyection2_[2].pcapng,94307,1
T1189-Drive-by_compromise_v1_[4].pcapng,56610,1
T1189-Drive-by_compromise_v1_[4].pcapng,9999,1
T1189-Drive-by_compromise_v2_[4].pcapng,56610,1
T1189-Drive-by_compromise_v2_[4].pcapng,9999,1
T1566.002-Spearphishing_Link_[5].pcapng,86533,1
T1659-Content_Injection_[5].pcapng,14984,1
T1659-Content_Injection_[5].pcapng,9999,1
T1176-Browser-extension_[4].pcapng,9999,1
T1542.005-TFTP_Boot_[5].pcapng,9999,1
T1542.005-TFTP_Boot_[5].pcapng,31914,1
T1505.005-Shell_Web_[2].pcapng,9999,1
T1505.005-Shell_Web_[2].pcapng,58463,1
T1110.001-Hydra_[3].pcapng,31914,1
T1110.001-Hydra_[3].pcapng,94174,1
T1187-Forced_Authentication_[5].pcapng,92322,1
T1187-Forced_Authentication_[5].pcapng,31696,1
T1187-Forced_Authentication2_[5].pcapng,92322,1
T1187-Forced_Authentication2_[5].pcapng,31696,1
T1114-Email_collection_remote_email_collection_[4].pcapng,92322,1
T1114-Email_collection_remote_email_collection_[4].pcapng,9999,1
T1498-Amplif_dns_[1].pcapng,18870,1
T1496-Cryptomining_[2].pcapng,9999,1
T1496-Cryptomining_[2].pcapng,632447088,1
T1071-Tunel_[1].pcapng,18870,1
T1104-Multi_stage_channels_[4].pcapng,9999,1
T1104-Multi_stage_channels_[4].pcapng,85585,1
T1008-Fallback_channels_[4].pcapng,9999,1
T1008-Fallback_channels_[4].pcapng,85585,1
T1008-Fallback_channels_[4].pcapng,92322,1
T1102.003-Web_service-one_way_communication_[4].pcapng,9999,1
T1102.003-Web_service-one_way_communication_[4].pcapng,85585,1
T1090-Proxy_internal_proxy_[4].pcapng,999985585,1
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,14978,1
T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,9999,1
T1001.002-Data_obfuscation_steganography_[4].pcapng,31914,1
T1132.001-Standard_Encoding_[5].pcapng,9999,1
T1568-fastFluxDNS_[5].pcapng,9999,1
T1665-Hide_Infrastructure_[5].pcapng,9999,1
T1665-Hide_Infrastructure_[5].pcapng,14984,1
T1572-Protocol_Tunneling_[5].pcapng,31914,1
T1070-Indicator_removal_network_share_connection_removal_[4].pcapng,92322,1
T1112-Modify_registry_[4].pcapng,9999,1
T1112-Modify_registry_[4].pcapng,92322,1
T1112-Modify_registry_[4].pcapng,33836,1
T1207-Rogue_domain_controller_[4].pcapng,92322,1
T1207-Rogue_domain_controller_[4].pcapng,54410,1
T1599-NBB1_[5].pcapng,31914,1
T1599-NBB2_[5].pcapng,31914,1
T1612-BuildImageOnHostLocal_[5].pcapng,86533,1
T1612-BuildImageOnHostLocal_[5].pcapng,32295,1
T1612-BuildImageOnHostLocal_[5].pcapng,599805,1
T1612-BuildImageOnHostLocal_[5].pcapng,656385684,1
T1612-BuildImageOnHostLocal_[5].pcapng,31914,1
T1612-BuildImageOnHostLocal_[5].pcapng,52175,1
T1210-Remote_code_execution_[2].pcapng,37700,1
T1210-Remote_code_execution_[2].pcapng,38390,1
T1210-Remote_code_execution_[2].pcapng,9999,1
T1210-Remote_code_execution_[2].pcapng,86533,1
T1046-Version_services_detection1_[3].pcapng,9999,1
T1046-Version_services_detection1_[3].pcapng,30092,1
T1046-Version_services_detection1_[3].pcapng,30120,1
T1046-Version_services_detection1_[3].pcapng,30323,1
T1046-Version_services_detection1_[3].pcapng,30350,1
T1046-Version_services_detection1_[3].pcapng,30444,1
T1046-Version_services_detection1_[3].pcapng,30510,1
T1046-Version_services_detection1_[3].pcapng,30514,1
T1046-Version_services_detection1_[3].pcapng,30520,1
T1046-Version_services_detection1_[3].pcapng,30798,1
T1046-Version_services_detection1_[3].pcapng,30815,1
T1046-Version_services_detection1_[3].pcapng,30818,1
T1046-Version_services_detection1_[3].pcapng,30844,1
T1046-Version_services_detection1_[3].pcapng,30851,1
T1046-Version_services_detection1_[3].pcapng,30852,1
T1046-Version_services_detection1_[3].pcapng,30853,1
T1046-Version_services_detection1_[3].pcapng,30888,1
T1046-Version_services_detection1_[3].pcapng,30903,1
T1046-Version_services_detection1_[3].pcapng,30914,1
T1046-Version_services_detection1_[3].pcapng,30921,1
T1046-Version_services_detection1_[3].pcapng,31476,1
T1046-Version_services_detection1_[3].pcapng,31477,1
T1046-Version_services_detection1_[3].pcapng,31932,1
T1046-Version_services_detection1_[3].pcapng,32190,1
T1046-Version_services_detection1_[3].pcapng,32194,1
T1046-Version_services_detection1_[3].pcapng,32451,1
T1046-Version_services_detection1_[3].pcapng,32622,1
T1046-Version_services_detection1_[3].pcapng,32658,1
T1046-Version_services_detection1_[3].pcapng,32672,1
T1046-Version_services_detection1_[3].pcapng,32688,1
T1046-Version_services_detection1_[3].pcapng,32689,1
T1046-Version_services_detection1_[3].pcapng,32691,1
T1046-Version_services_detection1_[3].pcapng,32696,1
T1046-Version_services_detection1_[3].pcapng,32701,1
T1046-Version_services_detection1_[3].pcapng,32703,1
T1046-Version_services_detection1_[3].pcapng,32712,1
T1046-Version_services_detection1_[3].pcapng,33327,1
T1046-Version_services_detection1_[3].pcapng,33330,1
T1046-Version_services_detection1_[3].pcapng,33339,1
T1046-Version_services_detection1_[3].pcapng,33467,1
T1046-Version_services_detection1_[3].pcapng,33645,1
T1046-Version_services_detection1_[3].pcapng,33756,1
T1046-Version_services_detection1_[3].pcapng,33779,1
T1046-Version_services_detection1_[3].pcapng,33783,1
T1046-Version_services_detection1_[3].pcapng,34200,1
T1046-Version_services_detection1_[3].pcapng,34439,1
T1046-Version_services_detection1_[3].pcapng,34519,1
T1046-Version_services_detection1_[3].pcapng,34804,1
T1046-Version_services_detection1_[3].pcapng,35010,1
T1046-Version_services_detection1_[3].pcapng,35107,1
T1046-Version_services_detection1_[3].pcapng,35298,1
T1046-Version_services_detection1_[3].pcapng,36096,1
T1046-Version_services_detection1_[3].pcapng,36102,1
T1046-Version_services_detection1_[3].pcapng,36280,1
T1046-Version_services_detection1_[3].pcapng,36315,1
T1046-Version_services_detection1_[3].pcapng,38402,1
T1046-Version_services_detection1_[3].pcapng,38531,1
T1046-Version_services_detection1_[3].pcapng,39455,1
T1046-Version_services_detection1_[3].pcapng,39766,1
T1046-Version_services_detection1_[3].pcapng,39810,1
T1046-Version_services_detection1_[3].pcapng,54469,1
T1046-Version_services_detection1_[3].pcapng,54701,1
T1046-Version_services_detection1_[3].pcapng,55558,1
T1046-Version_services_detection1_[3].pcapng,55834,1
T1046-Version_services_detection1_[3].pcapng,58209,1
T1046-Version_services_detection1_[3].pcapng,58461,1
T1046-Version_services_detection1_[3].pcapng,58618,1
T1046-Version_services_detection1_[3].pcapng,90136,1
T1046-Version_services_detection1_[3].pcapng,91328,1
T1046-Version_services_detection1_[3].pcapng,91655,1
T1046-Version_services_detection1_[3].pcapng,92485,1
T1046-Version_services_detection1_[3].pcapng,93646,1
T1046-Version_services_detection1_[3].pcapng,94328,1
T1046-Version_services_detection1_[3].pcapng,94849,1
T1033-System_owner_[4].pcapng,92322,1
T1033-System_owner_[4].pcapng,33836,1
T1482-Domain_trust_discovery_[4].pcapng,92322,1
T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng,31914,1
T1029-Scheduled_transfer_[4].pcapng,9999,1
T1029-Scheduled_transfer_[4].pcapng,85585,1
T1029-Scheduled_transfer_[4].pcapng,31914,1
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,93031,1
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,9999,1
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,14978,1
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,93031,1
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,9999,1
T1569-System_services_service_execution_[4].pcapng,92322,1
T1569-System_services_service_execution_[4].pcapng,36540,1
