FICHERO PCAP,Nº FLUJOS IDENTIFICADOS POR FORTIGATE,Nº FLUJOS CON ATAQUE DETECTADOS POR FORTIGATE,COMENTARIOS DE LAS DETECCIONES FG,,
T1595.002-Port_Scanning_[3].pcapng,2059,19,,,
T1595.003-Web_page_scanning1_[2].pcapng,181,0,,,
T1595.003-Web_page_scanning2_[3].pcapng,385,1,,,
T1596.001-DNS_Transfer_[2].pcapng,1,0,,,
T1598.003-Spearphishing_Link_[5].pcapng,57,0,,,
T1589.002-Gather_victim_identity_information_[4].pcapng,7,0,,,
T1586.001-Compromise_Accounts_[2].pcapng,6925,153,,,
T1585.001-Establish_social_accounts_[4].pcapng,129,0,,,
T1584-Cache_dns_[1].pcapng,7,0,,,
T1584-Secuestro_dns_[1].pcapng,6,0,,,
T1584.005-C2018_[6].pcapng,142,0,,,
T1133-External_remote_services_[4].pcapng,22,0,,,
T1190-Sql_inyection1_[3].pcapng,1,1,,,
T1190-Sql_inyection2_[2].pcapng,77,76,,,
T1190-Sql_injection-C2018_[6].pcapng,50,35,,,
T1189-Drive-by_compromise_v1_[4].pcapng,4,3,,,
T1189-Drive-by_compromise_v2_[4].pcapng,1,0,,,
T1200-Hardware_Additions_[5].pcapng,0,0,,,
T1566.001-C2018_[6].pcapng,1,1,,,
T1566.002-Spearphishing_Link_[5].pcapng,168,0,,,
T1659-Content_Injection_[5].pcapng,83,0,,,
T1659_Inyeccion_[1].pcapng,11,0,,,
T1199-Trusted_relationship_[4].pcapng,7,0,,,
T1176-Browser-extension_[4].pcapng,185,0,,,
T1197-BITS_Jobs_[5].pcapng,117,0,,,
T1542.005-TFTP_Boot_[5].pcapng,6,0,,,
T1505.001-SQL_inyection_[3].pcapng,7,1,,,
T1505.005-Shell_Web_[2].pcapng,3,0,,,
T1053.002-Scheduled_TaskJob_At_[5].pcapng,2,1,,,
T1543.003-CreateSystemProcessWindowsService_[5].pcapng,2,,,,
T1110.001-Hydra_[3].pcapng,3,0,,,
T1110.001-FTP-C2018_[6].pcapng,27710,0,,,
T1110.001-SSH-C2018_[6].pcapng,92430,0,,,
T1110-Wps_[1].pcapng,,0,,,
T1110-Diccionario_[1].pcapng,,0,,,
T1110-pmkid_[1].pcapng,,0,,,
T1110-Ptw_korek_[1].pcapng,,0,,,
T1040-Autenticacion_[1].pcapng,,0,,,
T1040-Chopchop_[1].pcapng,,0,,,
T1040-Fragmentacion_[1].pcapng,,0,,,
T1040-Mac_flood_[1].pcapng,,0,,,
T1557.002-ARP_poisoning1_[2].pcapng,13,0,,,
T1557.002-ARP_poisoning2_[3].pcapng,0,0,,,
