Fichero pcap;Tipo de tráfico;Categoría;Tamaño real del tráfico;Nº de Flujos;Nº de Direcciones Distintas;Contiene Flujos Truncados (Sin SYN);;;;;;;
smtp-FIX.pcapng;REAL;Básico;0.0019;2;2;0;;;;;;;
http-FIX.pcapng;REAL;Básico;0.0527;61;16;0;;;;;;;
youtube-FIX.pcapng;REAL;Básico;0.3327;40;17;0;;;;;;;
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng;REAL;TD;100;15649;2866;0;;;;;;;
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng;REAL;TD;3.9;3421;715;0;;;;;;;
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng;REAL;TD;103;44016;7531;0;;;;;;;    
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng;REAL;TD;109;56302;3096;0;;;;;;;
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng;REAL;TD;107;64674;6565;0;;;;;;;
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng;REAL;TD;106;65257;4702;0;;;;;;;
07 - DIT (07 - DIT (captura_00006_20240131165021)).pcapng;REAL;TD;48;32428;3104;0;;;;;;;
