Fichero,SID,RS,TP
smtp-FIX.pcapng,2002749,4,
http-FIX.pcapng,2002749,4,
http-FIX.pcapng,2002752,4,
http-FIX.pcapng,2101620,4,
youtube-FIX.pcapng,51037,3,
youtube-FIX.pcapng,2002749,4,
youtube-FIX.pcapng,2002752,4,
youtube-FIX.pcapng,2101620,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2001219,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2002910,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2002911,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2003068,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2008120,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2010935,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2010937,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2019102,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2101384,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2101411,2,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2001117,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2002749,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2002752,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2009207,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100381,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100384,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100385,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100399,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100402,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100408,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100469,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100472,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100527,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100615,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2100650,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2101390,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2101417,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2101444,4,
01 - DIT (01 - DIT (captura_00001_20240125083640)).pcapng,2101917,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2101384,2,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2101411,2,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2001117,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2002749,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2002752,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2100381,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2100384,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2100399,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2100402,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2100408,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2100472,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2100527,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2101417,4,
02 - DIT (02 - DIT (captura_00001_20240202080842)).pcapng,2101917,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2019102,2,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100366,2,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100476,2,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2101384,2,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2101411,2,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2001117,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2002749,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2002752,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2009582,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100381,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100384,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100385,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100399,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100402,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100408,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100469,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100472,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2100527,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2101417,4,
03 - DIT (03 - DIT (captura_00002_20240125191218)).pcapng,2101917,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2019102,2,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2101384,2,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2101411,2,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2001117,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2002749,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2002752,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2009582,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100381,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100382,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100384,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100385,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100399,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100402,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100404,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100408,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100469,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100472,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2100527,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2101417,4,
04 - DIT (04 - DIT (captura_00003_20240126181602)).pcapng,2101917,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2019102,2,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2027397,2,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2101384,2,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2101411,2,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2001117,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2002749,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2002752,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2009582,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2036751,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100381,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100384,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100399,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100402,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100408,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100469,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100472,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2100527,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2101417,4,
05 - DIT (05 - DIT (captura_00004_20240128151951)).pcapng,2101917,4,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2009967,2,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2019102,2,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2027397,2,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2101384,2,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2101411,2,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2001117,4,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2002749,4,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2002752,4,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2008470,4,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2009205,4,
06 - DIT (06 - DIT (captura_00005_20240130061546)).pcapng,2009206,4,
