TÁCTICA;Técnica;ID;Táctica Adicional;Implementada;Subtécnica;ID;Técnicas Adicionales;Detectable por Red;Sólo Detectable por Red;Detectable mediante patrones;Mecanismo de detección;Implementada
Reconnaissance;Active Scanning;T1595;-;SI;Scanning IP Blocks;T1595.001;-;SI;SI;-;-;NO
Reconnaissance;Active Scanning;T1595;-;SI;Vulnerability Scanning;T1595.002;-;SI;SI;SI;Regla genérica que detecte el envío de paquetes TCP con flag SYN activado a varios puertos diferentes;SI
Reconnaissance;Active Scanning;T1595;-;SI;Wordlist Scanning;T1595.003;-;SI;SI;SI;Regla genérica que detecte peticiones HTTP hacia muchas URLs diferentes con destino el mismo servidor;SI
Reconnaissance;Gather Victim Host Information;T1592;-;NO;Hardware;T1592.001;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Host Information;T1592;-;NO;Software;T1592.002;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Host Information;T1592;-;NO;Firmware;T1592.003;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Host Information;T1592;-;NO;Client Configurations;T1592.004;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Identity Information;T1589;-;SI;Credentials;T1589.001;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Identity Information;T1589;-;SI;Email Addresses;T1589.002;-;SI;SI;SI;Regla genérica que detecte un número elevado de intentos de conexión y mensajes ehlo SMTP procedentes de un mismo origen hacia un servidor.;SI
Reconnaissance;Gather Victim Identity Information;T1589;-;SI;Employee Names;T1589.003;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Network Information;T1590;-;NO;Domain Properties;T1590.001;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Network Information;T1590;-;NO;DNS;T1590.002;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Network Information;T1590;-;NO;Network Trust Dependencies;T1590.003;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Network Information;T1590;-;NO;Network Topology;T1590.004;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Network Information;T1590;-;NO;IP Addresses;T1590.005;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Network Information;T1590;-;NO;Network Security Appliances;T1590.006;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Org Information;T1591;-;NO;Determine Physical Locations;T591.001;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Org Information;T1591;-;NO;Business Relationships;T591.002;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Org Information;T1591;-;NO;Identify Business Tempo;T591.003;-;NO;NO;-;-;NO
Reconnaissance;Gather Victim Org Information;T1591;-;NO;Identify Roles;T591.004;-;NO;NO;-;-;NO
Reconnaissance;Phishing for Information;T1598;-;SI;Spearphishing Attachment;T1598.002;-;SI;NO;NO;-;NO
Reconnaissance;Phishing for Information;T1598;-;SI;Spearphishing Link;T1598.003;-;SI;NO;NO;Detección por listas negras/anomalías que permitan detectar tráfico de red correspondiente a correos electrónicos con enlaces maliciosos;SI
Reconnaissance;Phishing for Information;T1598;-;SI;Spearphishing via Service;T1598.001;-;SI;NO;NO;-;NO
Reconnaissance;Phishing for Information;T1598;-;SI;Spearphishing Voice;T1598.004;-;NO;NO;NO;-;NO
Reconnaissance;Search Closed Sources;T1597;-;NO;Threat Intel Vendor;T1597.001;-;NO;NO;-;-;NO
Reconnaissance;Search Closed Sources;T1597;-;NO;Purchase Technical Data;T1597.002;-;NO;NO;-;-;NO
Reconnaissance;Search Open Technical Databases;T1596;-;SI;DNS/Pasive DNS;T1596.001;-;NO;NO;SI;"Regla genérica que detecte paquetes TCP dirigidos al puerto 53 que tengan los bytes ""Question"" igual a 1 y el resto a cero. Además, el campo ""Type"" debe tomar el valor ""00 FC""";SI
Reconnaissance;Search Open Technical Databases;T1596;-;SI;WHOIS;T1596.002;-;NO;NO;-;-;NO
Reconnaissance;Search Open Technical Databases;T1596;-;SI;Digital Certificates;T1596.003;-;NO;NO;-;-;NO
