attackid,nataque,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,sessionid,url
44780,1,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50862,80,ips,signature,7174,/
12648,1,medium,HTPasswd.Access,HTTP,172.16.1.2,172.16.2.2,50862,80,ips,signature,7174,/5PkUWXOP.htpasswd
44780,1,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50862,80,ips,signature,7174,
44780,2,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50864,80,ips,signature,7175,/5PkUWXOP.EXE
44780,2,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50864,80,ips,signature,7175,
44780,3,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50866,80,ips,signature,7176,/5PkUWXOP.cmd
44780,3,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50866,80,ips,signature,7176,
44780,4,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50868,80,ips,signature,7177,/index.php
15229,4,medium,Apache.Expect.Header.XSS,HTTP,172.16.1.2,172.16.2.2,50868,80,ips,signature,7177,/
44780,4,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50868,80,ips,signature,7177,
44780,5,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50870,80,ips,signature,7178,/nikto-test-TXANp1NR.html
44780,5,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50870,80,ips,signature,7178,
44780,6,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50872,80,ips,signature,7179,/
44780,7,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50874,80,ips,signature,7180,/
44780,7,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50874,80,ips,signature,7180,
44780,8,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50876,80,ips,signature,7181,/
44780,9,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50878,80,ips,signature,7182,
15463,9,high,PHP.URI.Code.Injection,HTTP,172.16.1.2,172.16.2.2,50878,80,ips,signature,7182,
44780,9,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50878,80,ips,signature,7182,
44780,10,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50880,80,ips,signature,7183,/scripts/samples/search/filetime.idq
44780,10,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50880,80,ips,signature,7183,
44780,11,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50882,80,ips,signature,7184,/pbserver/pbserver.dll
44780,11,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50882,80,ips,signature,7184,
44780,12,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50884,80,ips,signature,7185,/webcart/orders/import.txt
46767,12,medium,Novell.NetBasic.Scripting.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50884,80,ips,signature,7185,/nsn/..%5Cutil/chkvol.bas
44780,12,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50884,80,ips,signature,7185,
46767,12,medium,Novell.NetBasic.Scripting.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50884,80,ips,signature,7185,
44780,13,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50886,80,ips,signature,7186,/domlog.nsf
44780,13,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50886,80,ips,signature,7186,
44780,14,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50888,80,ips,signature,7187,/
44780,15,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50890,80,ips,signature,7188,//
44780,15,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50890,80,ips,signature,7188,
27560,16,low,NaviCOPA.Source.Code.Information.Disclosure,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,/index.html%20
44780,16,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,/852566C90012664F
43336,16,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,/%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc%2fpasswd
12015,16,high,MS.IIS.Web.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,/msadc/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir+c:%5c
30908,16,medium,Oxide.WebServer.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,
13106,16,medium,Php.Exe.Disclosure,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,/php/php.exe?c:\\winnt\\boot.ini
24975,16,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,/%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f../boot.ini
13011,16,high,Apache.DOS.Batch.Script.Parsing.Command.Execution,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,/ssi/envout.bat?|dir%20..\\\\..\\\\..\\\\..\\\\..\\\\..\\\\..\\\\
44780,16,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,
43336,16,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,
13106,16,medium,Php.Exe.Disclosure,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,
24975,16,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50892,80,ips,signature,7189,
44780,17,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50894,80,ips,signature,7190,/../../../../winnt/repair/sam._
24975,18,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50896,80,ips,signature,7191,/..\\\\..\\\\..\\\\..\\\\..\\\\..\\\\..\\\\boot.ini
43336,18,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50896,80,ips,signature,7191,///etc/passwd
44780,18,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50896,80,ips,signature,7191,///etc/hosts
24975,18,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50896,80,ips,signature,7191,
44780,19,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50898,80,ips,signature,7192,/.cobalt/sysManage/../admin/.htaccess
43336,19,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50898,80,ips,signature,7192,/albums/userpics/Copperminer.jpg.php?cat%20/etc/passwd
43336,19,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50898,80,ips,signature,7192,
44780,20,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50900,80,ips,signature,7193,
43336,20,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50900,80,ips,signature,7193,
30908,20,medium,Oxide.WebServer.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50900,80,ips,signature,7193,
18057,20,medium,Netscape.Search.NS.Query.Pat.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50900,80,ips,signature,7193,
44780,20,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,50900,80,ips,signature,7193,
43336,20,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50900,80,ips,signature,7193,
30908,20,medium,Oxide.WebServer.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50900,80,ips,signature,7193,
24975,21,medium,HTTP.Malformed.Request.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,50902,80,ips,signature,7194,/.../.../.../.../.../.../.../.../.../boot.ini
43336,21,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,50902,80,ips,signature,7194,/................../etc/passwd
