attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
43814,7658808,1,low,Port.Scanning,tcp/37,192.168.1.3,192.168.2.2,40171,37,ips,signature,-
43814,7662193,1,low,Port.Scanning,tcp/26,192.168.1.3,192.168.2.2,40171,26,ips,signature,-
43814,7663274,1,low,Port.Scanning,tcp/1,192.168.1.3,192.168.2.2,40171,1,ips,signature,-
43814,7663603,1,low,Port.Scanning,tcp/19,192.168.1.3,192.168.2.2,40171,19,ips,signature,-
43814,7666143,1,low,Port.Scanning,tcp/6,192.168.1.3,192.168.2.2,40171,6,ips,signature,-
43814,7674160,1,low,Port.Scanning,tcp/4,192.168.1.3,192.168.2.2,40171,4,ips,signature,-
18157,7679455,1,medium,SunRPC.Portmap.Dump,RPC,192.168.1.3,192.168.2.2,727,111,ips,signature,-
45360,7679456,1,low,Nmap.Script.Scanner,HTTP,192.168.1.3,192.168.2.2,51072,80,ips,signature,/sdk
45360,7679457,1,low,Nmap.Script.Scanner,HTTP,192.168.1.3,192.168.2.2,51074,80,ips,signature,/nmaplowercheck1656060575
45360,7679459,1,low,Nmap.Script.Scanner,HTTP,192.168.1.3,192.168.2.2,51078,80,ips,signature,/evox/about
45360,7679460,1,low,Nmap.Script.Scanner,HTTP,192.168.1.3,192.168.2.2,51080,80,ips,signature,/HNAP1
