attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
17702,7955915,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,63781,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%277E0KD4U3IGIFVBRZT6JFWKAIYRLY8X99UT1TFJB952BYGVL765%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=57153d1be84c2b29d7a588a2984df174
17702,7955915,43,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,63781,80,ips,signature,-
17702,7955917,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64074,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27BQ3VM4I6P9H41ZA28MXHAB7V7453W0A4FT64KO1THG5FT989PB%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=0ac817b5c234b0caa160fe72e67d2988
17702,7955918,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64143,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%2732ARGQ6B7LEDBB7JHSNBJ7JG23J5S3VSAJPDLZOXZHUHUSU7QE%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=55fa1d2e159e75f235e7e8e40bbedcc1
17702,7955918,44,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64143,80,ips,signature,-
17702,7955920,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64438,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27XPNJGWDJ5LCDX7I7JBAYHDIMHEHBI8BATSPNES7TXFJLIP9KCA%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=9dbc9d628d598769a578925e683ad7e7
17702,7955921,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64504,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27WOXP99QEXGOZG9EFFWS1WUAGL0BEWJAOJ8OTVEN2AYJGXP4JRC%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=f9efff2744f7d0f28414d20d686088be
17702,7955921,44,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64504,80,ips,signature,-
17702,7955923,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64796,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27HD5AZ4BFW6FYNJL1BOB8HXJ9CQK6X33FPPY3DHTWN09C40ASCR%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=130c00612cd8d2e07fc3e8aad05d43d1
17702,7955923,49,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,64796,80,ips,signature,-
17702,7955924,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,65105,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27C2173U3HVZRY3N8LQV6800CFUA9NW2PP2IW4MNH147DK5NRP9H%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=acd7a7a92b6b990411ef7cd9a1fa46d5
17702,7955924,50,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,65105,80,ips,signature,-
17702,7955925,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,65415,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%273OHBN7JPOKT1UC5H5KU6LALAU13KU8YLP5VKRZSHDDARA4Y9JF%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=85dbb6ee66188b0c0244794f70d41b2c
17702,7955925,49,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,65415,80,ips,signature,-
17702,7955926,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,49342,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27OHZQERF72QGAV7HBAS1YHR41BOE5A6XUVHE7QCXJ5KYCD29HTP%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=52d41f9f6f2c8b89c85035019d95b90b
17702,7955926,50,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,49342,80,ips,signature,-
17702,7955927,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,49650,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27WEX2SHDSPFERA2UXWLYYPCBSPCIUQH0AZ01VH3HRYPYT1O8PJZ%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=c5eceea6084ee6448685a52dd15b6fde
17702,7955927,49,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,49650,80,ips,signature,-
17702,7955928,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,49969,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27KTMQEATYI2WSTKVWOLALTRPBY7LXWJHAKYAL51WL5D3LE5QCNV%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=2f355ad91c3e877885517ee5c3b62ed5
17702,7955928,50,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,49969,80,ips,signature,-
17702,7955929,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,50277,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27PGOEV7ANHAD8Y2C5ACHPF61A8LX30OZWJFDGN8MPDQ8WC2RMUR%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=57f7762897bb180ecf661c0a460080bb
17702,7955929,49,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,50277,80,ips,signature,-
17702,7955930,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,50589,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27PADXVJ01BJQZF54XPW8NMQQBOIZO2HYWAWV5ZNIN5CVAI9KWSR%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=2e8deac122c73c661fd837eed03dda69
17702,7955930,50,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,50589,80,ips,signature,-
17702,7955931,1,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,50895,80,ips,signature,/DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Econsole.log%28%27GNVL4XFD2VRCDYPXDQFTO23GLWVYWJM4MA26G1K731879QF7XD%27%29%3Bconsole.log%28document.cookie%29%3B%3C%2Fscript%3E&user_token=288832132ae478e3da8e57c6fc7e960d
17702,7955931,49,medium,Cross.Site.Scripting,HTTP,18.218.115.60,172.31.69.28,50895,80,ips,signature,-
