attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
48370,378583,1,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,44532,53,ips,signature
