attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
12525,9320594,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2769,0,ips,signature
12525,9320595,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2770,0,ips,signature
12525,9320597,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2772,0,ips,signature
12525,9320596,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2771,0,ips,signature
12525,9320598,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2773,0,ips,signature
12525,9320599,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2774,0,ips,signature
12525,9320601,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2776,0,ips,signature
12525,9320603,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2778,0,ips,signature
12525,9320605,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2780,0,ips,signature
12525,9320607,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2782,0,ips,signature
12525,9320609,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2784,0,ips,signature
12525,9320600,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2775,0,ips,signature
12525,9320602,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2777,0,ips,signature
12525,9320604,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2779,0,ips,signature
12525,9320606,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2781,0,ips,signature
12525,9320608,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2783,0,ips,signature
12525,9320610,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2785,0,ips,signature
12525,9320613,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2787,0,ips,signature
12525,9320615,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2789,0,ips,signature
12525,9320617,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2791,0,ips,signature
12525,9320619,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2793,0,ips,signature
12525,9320621,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2795,0,ips,signature
12525,9320623,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2797,0,ips,signature
12525,9320625,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2799,0,ips,signature
12525,9320627,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2801,0,ips,signature
12525,9320629,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2803,0,ips,signature
12525,9320612,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2786,0,ips,signature
12525,9320614,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2788,0,ips,signature
12525,9320616,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2790,0,ips,signature
12525,9320618,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2792,0,ips,signature
12525,9320620,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2794,0,ips,signature
12525,9320631,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2805,0,ips,signature
12525,9320622,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2796,0,ips,signature
