attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
12648,24317696,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45596,80,ips,signature,/.htpasswd
29263,24317696,1,low,SVN.Sensitive.File.Access,HTTP,192.168.1.3,192.168.2.2,45596,80,ips,signature,/.svn/entries
12648,24317696,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45596,80,ips,signature,-
12475,24317704,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,45616,80,ips,signature,/cgi-bin/
29264,24317707,1,low,CVS.Sensitive.File.Access,HTTP,192.168.1.3,192.168.2.2,45624,80,ips,signature,/CVS/Entries
13900,24317725,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,45660,80,ips,signature,/phpinfo.php
29261,24317740,1,medium,WS_FTP.Sensitive.File.Access,HTTP,192.168.1.3,192.168.2.2,45694,80,ips,signature,/WS_FTP.LOG
12648,24317741,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45696,80,ips,signature,/chat/.htpasswd
12648,24317741,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45696,80,ips,signature,-
12475,24317749,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,45712,80,ips,signature,/chat/cgi-bin/
13900,24317770,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,45760,80,ips,signature,/chat/phpinfo.php
12648,24317787,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45796,80,ips,signature,/drupal/.htpasswd
12648,24317787,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45796,80,ips,signature,-
12475,24317795,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,45812,80,ips,signature,/drupal/cgi-bin/
13900,24317816,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,45856,80,ips,signature,/drupal/phpinfo.php
12648,24317833,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45894,80,ips,signature,/phpmyadmin/.htpasswd
12648,24317833,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45894,80,ips,signature,-
12475,24317841,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,45912,80,ips,signature,/phpmyadmin/cgi-bin/
13900,24317862,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,45954,80,ips,signature,/phpmyadmin/phpinfo.php
12648,24317879,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45994,80,ips,signature,/uploads/.htpasswd
12648,24317879,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,45994,80,ips,signature,-
12475,24317887,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46010,80,ips,signature,/uploads/cgi-bin/
13900,24317908,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46054,80,ips,signature,/uploads/phpinfo.php
12648,24317924,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46088,80,ips,signature,/drupal/includes/.htpasswd
12648,24317924,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46088,80,ips,signature,-
12475,24317932,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46104,80,ips,signature,/drupal/includes/cgi-bin/
13900,24317953,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46148,80,ips,signature,/drupal/includes/phpinfo.php
12648,24317970,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46186,80,ips,signature,/drupal/misc/.htpasswd
12648,24317970,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46186,80,ips,signature,-
12475,24317978,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46204,80,ips,signature,/drupal/misc/cgi-bin/
13900,24317999,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46248,80,ips,signature,/drupal/misc/phpinfo.php
12648,24318016,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46282,80,ips,signature,/drupal/modules/.htpasswd
12648,24318016,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46282,80,ips,signature,-
12475,24318024,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46298,80,ips,signature,/drupal/modules/cgi-bin/
13900,24318045,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46342,80,ips,signature,/drupal/modules/phpinfo.php
12648,24318061,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46376,80,ips,signature,/drupal/profiles/.htpasswd
12648,24318061,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46376,80,ips,signature,-
12475,24318069,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46392,80,ips,signature,/drupal/profiles/cgi-bin/
13900,24318091,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46438,80,ips,signature,/drupal/profiles/phpinfo.php
12648,24318107,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46470,80,ips,signature,/drupal/scripts/.htpasswd
12648,24318107,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46470,80,ips,signature,-
12475,24318115,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46486,80,ips,signature,/drupal/scripts/cgi-bin/
13900,24318136,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46530,80,ips,signature,/drupal/scripts/phpinfo.php
12648,24318153,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46564,80,ips,signature,/drupal/sites/.htpasswd
12648,24318153,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46564,80,ips,signature,-
12475,24318161,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46582,80,ips,signature,/drupal/sites/cgi-bin/
13900,24318182,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46626,80,ips,signature,/drupal/sites/phpinfo.php
12648,24318199,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46660,80,ips,signature,/drupal/themes/.htpasswd
12648,24318199,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46660,80,ips,signature,-
12475,24318207,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46678,80,ips,signature,/drupal/themes/cgi-bin/
13900,24318228,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46726,80,ips,signature,/drupal/themes/phpinfo.php
12648,24318244,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46758,80,ips,signature,/phpmyadmin/examples/.htpasswd
12648,24318244,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46758,80,ips,signature,-
12475,24318252,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,46776,80,ips,signature,/phpmyadmin/examples/cgi-bin/
13900,24318273,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,46824,80,ips,signature,/phpmyadmin/examples/phpinfo.php
12648,24318290,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,46860,80,ips,signature,/phpmyadmin/js/.htpasswd
