attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
43814,355275,1,low,Port.Scanning,tcp/1,172.16.1.2,172.16.2.2,51268,1,ips,signature,
43814,355594,1,low,Port.Scanning,tcp/17,172.16.1.2,172.16.2.2,46622,17,ips,signature,
43814,355636,1,low,Port.Scanning,tcp/6,172.16.1.2,172.16.2.2,46460,6,ips,signature,
43814,355666,1,low,Port.Scanning,tcp/4,172.16.1.2,172.16.2.2,42998,4,ips,signature,
43814,356147,1,low,Port.Scanning,tcp/19,172.16.1.2,172.16.2.2,40060,19,ips,signature,
43814,356425,1,low,Port.Scanning,tcp/37,172.16.1.2,172.16.2.2,39106,37,ips,signature,
45360,356515,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,43344,8080,ips,signature,/nice%20ports%2C/Tri%6Eity.txt%2ebak
45360,356525,1,low,Nmap.Script.Scanner,tcp/8080,172.16.1.2,172.16.2.2,43364,8080,ips,signature,
45360,356526,1,low,Nmap.Script.Scanner,SSL,172.16.1.2,172.16.2.2,43366,8080,ips,signature,/
45360,356544,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,43402,8080,ips,signature,/nmaplowercheck1654276088
45360,356546,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,35886,80,ips,signature,/nmaplowercheck1654276090
45360,356547,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,35888,80,ips,signature,/nmaplowercheck1654276092
45360,356548,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,43410,8080,ips,signature,/nmaplowercheck1654276092
45360,356549,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,35892,80,ips,signature,/sdk
45360,356550,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,43414,8080,ips,signature,/sdk
45360,356551,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,35896,80,ips,signature,/evox/about
45360,356552,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,35898,80,ips,signature,/HNAP1
45360,356553,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,43420,8080,ips,signature,/evox/about
45360,356554,1,low,Nmap.Script.Scanner,HTTP,172.16.1.2,172.16.2.2,43422,8080,ips,signature,/HNAP1
