ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,481151,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/
9999,481155,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/sdk
9999,481156,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/nmaplowercheck1656060575
9999,481157,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/
9999,481159,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/HNAP1
9999,481158,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/evox/about
9999,481160,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/
9999,481165,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/
31914,481153,1,1,SSH2 Login Attempt,brute-force,tcp,192.168.1.3,192.168.2.2,vulnerability,
32796,481154,1,3,RPC Portmapper DUMP Request Detected,info-leak,tcp,192.168.1.3,192.168.2.2,vulnerability,
58433,481155,4,3,Nmap Scripting Engine Detection,hacktool,tcp,192.168.1.3,192.168.2.2,vulnerability,192.168.2.2/sdk
94317,481156,1,2,Nmap Service Detection,hacktool,tcp,192.168.1.3,192.168.2.2,vulnerability,192.168.2.2/nmaplowercheck1656060575
