ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
56497,52963,3,1,Non-RFC Compliant LDAP Traffic on Port 389,protocol-anomaly,tcp,192.168.10.5,192.168.10.10,vulnerability,
9999,52674,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Pxc7I
9999,52674,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Pxc7I
9999,52928,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Mxc/N
9999,52928,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Mxc/N
9999,52928,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Mxc/N
9999,52928,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Mxc/N
9999,52928,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Mxc/N
92322,43861,1,1,Microsoft Windows NTLMSSP Detection,info-leak,tcp,192.168.10.5,192.168.10.10,vulnerability,
9999,52251,1,1,,N/A,tcp,192.168.10.6,192.168.10.5,url,exchange/PowerShell?PSVersion=5.1.19041.1682&sessionID=Version_15.2_(Build_1117.0)=rJqNiZqNgbqnvLe+sbi60ZqSj42ajJ6QkpqYntGckJKBzsbLzc7NyMjOz4HNz83L0s/K0s3Pq87Jxc7Pxc7I
