ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,496546,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,496624,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495246,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,496581,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496652,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495237,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495190,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496668,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495275,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496616,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495157,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496362,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495248,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495310,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495131,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,496593,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495258,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,496671,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,495209,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,495292,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495153,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,495240,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495238,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,496541,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,495302,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,495283,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495182,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495339,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,496382,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495166,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495183,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496539,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495133,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495197,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495277,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496656,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
9999,495205,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495107,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495318,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,495311,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495178,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495323,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/u
9999,493559,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496579,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,495232,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496317,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/f
9999,496614,1,1,,N/A,tcp,192.168.10.2,192.168.10.1,url,192.168.10.1:9200/c
