ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
92322,774072,1,1,Microsoft Windows NTLMSSP Detection,info-leak,tcp,192.168.0.10,192.168.0.30,vulnerability,
31696,774072,1,1,Windows SMB Login Attempt,brute-force,tcp,192.168.0.10,192.168.0.30,vulnerability,
92322,776536,1,1,Microsoft Windows NTLMSSP Detection,info-leak,tcp,192.168.0.10,192.168.0.30,vulnerability,
31696,776536,1,1,Windows SMB Login Attempt,brute-force,tcp,192.168.0.10,192.168.0.30,vulnerability,
92322,779213,1,1,Microsoft Windows NTLMSSP Detection,info-leak,tcp,192.168.0.10,192.168.0.30,vulnerability,
31696,779213,1,1,Windows SMB Login Attempt,brute-force,tcp,192.168.0.10,192.168.0.30,vulnerability,
92322,776506,1,1,Microsoft Windows NTLMSSP Detection,info-leak,tcp,192.168.0.10,192.168.0.30,vulnerability,
31696,776506,1,1,Windows SMB Login Attempt,brute-force,tcp,192.168.0.10,192.168.0.30,vulnerability,
92322,776227,1,1,Microsoft Windows NTLMSSP Detection,info-leak,tcp,192.168.0.10,192.168.0.30,vulnerability,
31696,776227,1,1,Windows SMB Login Attempt,brute-force,tcp,192.168.0.10,192.168.0.30,vulnerability,
