ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,548686,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548685,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548687,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548688,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,"192.168.2.2/payroll_app.php?bebQ=8781%20AND%201=1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert("
9999,548689,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548690,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548691,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548692,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548693,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548694,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548696,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548695,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548697,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548698,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548699,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548700,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548701,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548702,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548704,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548703,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548705,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
36248,548686,21,2,HTTP SQL Injection Attempt,sql-injection,tcp,192.168.1.3,192.168.2.2,vulnerability,192.168.2.2/payroll_app.php
31477,548688,1,3,Generic HTTP Cross Site Scripting Attempt,code-execution,tcp,192.168.1.3,192.168.2.2,vulnerability,"192.168.2.2/payroll_app.php?bebQ=8781%20AND%201=1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert("
32658,548688,1,3,HTTP Cross Site Scripting Attempt,code-execution,tcp,192.168.1.3,192.168.2.2,vulnerability,"192.168.2.2/payroll_app.php?bebQ=8781%20AND%201=1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert("
33338,548688,1,3,HTTP SQL Injection Attempt,sql-injection,tcp,192.168.1.3,192.168.2.2,vulnerability,"192.168.2.2/payroll_app.php?bebQ=8781%20AND%201=1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert("
30514,548688,1,3,HTTP SQL Injection Attempt,sql-injection,tcp,192.168.1.3,192.168.2.2,vulnerability,"192.168.2.2/payroll_app.php?bebQ=8781%20AND%201=1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert("
58005,548688,3,2,HTTP SQL Injection Attempt,sql-injection,tcp,192.168.1.3,192.168.2.2,vulnerability,"192.168.2.2/payroll_app.php?bebQ=8781%20AND%201=1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert("
9999,548706,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548707,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
9999,548708,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/payroll_app.php
