ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,772748,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
9999,771565,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
54752,772748,2,4,Metasploit Windows Meterpreter Reverse Shell Detection,code-execution,tcp,192.168.0.10,192.168.0.2,vulnerability,192.168.0.2/
39909,772748,2,3,Metasploit Evasion Payload Detected,code-execution,tcp,192.168.0.10,192.168.0.2,vulnerability,192.168.0.2/
599800,772748,1,3,Machine Learning found virus,pe,tcp,192.168.0.10,192.168.0.2,ml-virus,192.168.0.2/
9999,775811,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
9999,776494,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
9999,776242,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
9999,776045,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
54752,776045,2,4,Metasploit Windows Meterpreter Reverse Shell Detection,code-execution,tcp,192.168.0.10,192.168.0.2,vulnerability,192.168.0.2/
39909,776045,2,3,Metasploit Evasion Payload Detected,code-execution,tcp,192.168.0.10,192.168.0.2,vulnerability,192.168.0.2/
9999,774248,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
33515,779402,1,5,Metasploit Meterpreter Connection Attempt,code-execution,tcp,192.168.0.10,192.168.0.2,vulnerability,
9999,775519,1,1,,N/A,tcp,192.168.0.10,192.168.0.2,url,192.168.0.2/
52020,772748,1,4,Windows Executable (EXE),N/A,tcp,192.168.0.10,192.168.0.2,wildfire,192.168.0.2/
