ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,651359,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,651359,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
9999,646231,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,646231,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
14984,651359,7,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,656068,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,656068,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/login.php
9999,651359,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/dvwa/images/login_logo.png
55310,651524,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('BQ3VM4I6P9H41ZA28MXHAB7V7453W0A4FT64KO1THG5FT989PB');console.log(document.cookie);</script>&user_token=0ac817b5c234b0caa160fe72e67d2988
94328,651524,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('BQ3VM4I6P9H41ZA28MXHAB7V7453W0A4FT64KO1THG5FT989PB');console.log(document.cookie);</script>&user_token=0ac817b5c234b0caa160fe72e67d2988
9999,651524,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('BQ3VM4I6P9H41ZA28MXHAB7V7453W0A4FT64KO1THG5FT989PB');console.log(document.cookie);</script>&user_token=0ac817b5c234b0caa160fe72e67d2988
9999,646231,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/dvwa/images/login_logo.png
9999,651728,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('XPNJGWDJ5LCDX7I7JBAYHDIMHEHBI8BATSPNES7TXFJLIP9KCA');console.log(document.cookie);</script>&user_token=9dbc9d628d598769a578925e683ad7e7
9999,656068,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/dvwa/images/login_logo.png
14984,652742,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,652742,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
55310,655964,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('C2173U3HVZRY3N8LQV6800CFUA9NW2PP2IW4MNH147DK5NRP9H');console.log(document.cookie);</script>&user_token=acd7a7a92b6b990411ef7cd9a1fa46d5
94328,655964,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('C2173U3HVZRY3N8LQV6800CFUA9NW2PP2IW4MNH147DK5NRP9H');console.log(document.cookie);</script>&user_token=acd7a7a92b6b990411ef7cd9a1fa46d5
9999,655964,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('C2173U3HVZRY3N8LQV6800CFUA9NW2PP2IW4MNH147DK5NRP9H');console.log(document.cookie);</script>&user_token=acd7a7a92b6b990411ef7cd9a1fa46d5
9999,650804,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
14984,650759,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('OHZQERF72QGAV7HBAS1YHR41BOE5A6XUVHE7QCXJ5KYCD29HTP');console.log(document.cookie);</script>&user_token=52d41f9f6f2c8b89c85035019d95b90b
9999,650759,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('OHZQERF72QGAV7HBAS1YHR41BOE5A6XUVHE7QCXJ5KYCD29HTP');console.log(document.cookie);</script>&user_token=52d41f9f6f2c8b89c85035019d95b90b
9999,646045,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
55310,650818,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('KTMQEATYI2WSTKVWOLALTRPBY7LXWJHAKYAL51WL5D3LE5QCNV');console.log(document.cookie);</script>&user_token=2f355ad91c3e877885517ee5c3b62ed5
94328,650818,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('KTMQEATYI2WSTKVWOLALTRPBY7LXWJHAKYAL51WL5D3LE5QCNV');console.log(document.cookie);</script>&user_token=2f355ad91c3e877885517ee5c3b62ed5
9999,650818,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('KTMQEATYI2WSTKVWOLALTRPBY7LXWJHAKYAL51WL5D3LE5QCNV');console.log(document.cookie);</script>&user_token=2f355ad91c3e877885517ee5c3b62ed5
14984,650767,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,650767,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,651503,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('PADXVJ01BJQZF54XPW8NMQQBOIZO2HYWAWV5ZNIN5CVAI9KWSR');console.log(document.cookie);</script>&user_token=2e8deac122c73c661fd837eed03dda69
9999,650783,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
14984,651015,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('3RW4W9GWJ3SCTJOXVG76D92F0MH3Y8LZRI5AOOLIYY8A6242JA');console.log(document.cookie);</script>&user_token=2eedb96444b2d2bdedbe8dea546bbda8
55310,651015,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('3RW4W9GWJ3SCTJOXVG76D92F0MH3Y8LZRI5AOOLIYY8A6242JA');console.log(document.cookie);</script>&user_token=2eedb96444b2d2bdedbe8dea546bbda8
94328,651015,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('3RW4W9GWJ3SCTJOXVG76D92F0MH3Y8LZRI5AOOLIYY8A6242JA');console.log(document.cookie);</script>&user_token=2eedb96444b2d2bdedbe8dea546bbda8
9999,651015,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('3RW4W9GWJ3SCTJOXVG76D92F0MH3Y8LZRI5AOOLIYY8A6242JA');console.log(document.cookie);</script>&user_token=2eedb96444b2d2bdedbe8dea546bbda8
9999,651309,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,640571,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('Z5H3FB9PENJZJSBGS1ARHTUNR1PXJEGF1AIHUHD4QOMS0WB4JC');console.log(document.cookie);</script>&user_token=55fecebd355ab3d64c2b906485b31887
14984,650703,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/
9999,650703,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
55310,650571,2,3,DVWA Web Application Attack Detection,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('J48KR4F9NQO31V3UBVCNNJDIOUJ49UH4AO3R9LPDKEE5UZBX3Y');console.log(document.cookie);</script>&user_token=a69779d31a7036504825d207fcbb3415
94328,650571,2,3,Generic Cross-Site Scripting Vulnerability,code-execution,tcp,18.218.115.60,172.31.69.28,vulnerability,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('J48KR4F9NQO31V3UBVCNNJDIOUJ49UH4AO3R9LPDKEE5UZBX3Y');console.log(document.cookie);</script>&user_token=a69779d31a7036504825d207fcbb3415
9999,650571,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('J48KR4F9NQO31V3UBVCNNJDIOUJ49UH4AO3R9LPDKEE5UZBX3Y');console.log(document.cookie);</script>&user_token=a69779d31a7036504825d207fcbb3415
9999,652626,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
14984,651544,3,1,Suspicious HTTP Evasion Found,spyware,tcp,18.218.115.60,172.31.69.28,spyware,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('IOWPSCA58GWT2K6AQHB1BBMLFM07AD01U3J8Z3VD08IGXU39P9');console.log(document.cookie);</script>&user_token=a520583228661a9fd5b3b9f5977444a3
9999,651544,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/?name=<script>console.log('IOWPSCA58GWT2K6AQHB1BBMLFM07AD01U3J8Z3VD08IGXU39P9');console.log(document.cookie);</script>&user_token=a520583228661a9fd5b3b9f5977444a3
9999,653136,1,1,,N/A,tcp,18.218.115.60,172.31.69.28,url,18.218.83.150/DVWA/vulnerabilities/xss_r/
