ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
93031,495810,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,142.250.184.10,vulnerability,safebrowsing.googleapis.com/
93031,495831,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,20.61.57.156,vulnerability,login.teamviewer.com/
93031,496608,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,34.120.208.123,vulnerability,incoming.telemetry.mozilla.org/
93031,495876,2,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,34.117.188.166,vulnerability,contile.services.mozilla.com/
9999,495810,1,1,,N/A,tcp,10.0.2.15,142.250.184.10,url,safebrowsing.googleapis.com/
9999,495831,1,1,,N/A,tcp,10.0.2.15,20.61.57.156,url,login.teamviewer.com/
9999,496608,1,1,,N/A,tcp,10.0.2.15,34.120.208.123,url,incoming.telemetry.mozilla.org/
9999,495876,1,1,,N/A,tcp,10.0.2.15,34.117.188.166,url,contile.services.mozilla.com/
9999,495967,1,1,,N/A,tcp,10.0.2.15,34.117.188.166,url,spocs.getpocket.com/
93031,495987,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,34.149.97.1,vulnerability,firefox-api-proxy.cdn.mozilla.net/
93031,495304,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,20.4.69.136,vulnerability,wsp.teamviewer.com/
14984,495741,3,1,Suspicious HTTP Evasion Found,spyware,tcp,10.0.2.15,95.100.100.65,spyware,r3.o.lencr.org/
9999,495987,1,1,,N/A,tcp,10.0.2.15,34.149.97.1,url,firefox-api-proxy.cdn.mozilla.net/
9999,495304,1,1,,N/A,tcp,10.0.2.15,20.4.69.136,url,wsp.teamviewer.com/
93031,495213,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,104.16.63.16,vulnerability,www.teamviewer.com/
9999,495213,1,1,,N/A,tcp,10.0.2.15,104.16.63.16,url,www.teamviewer.com/
93031,496795,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,142.250.184.163,vulnerability,www.recaptcha.net/
93031,496409,2,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,142.250.184.3,vulnerability,www.gstatic.com/
14984,495295,1,1,Suspicious HTTP Evasion Found,spyware,tcp,10.0.2.15,142.250.200.131,spyware,ocsp.pki.goog/gts1c3
9999,496795,1,1,,N/A,tcp,10.0.2.15,142.250.184.163,url,www.recaptcha.net/
9999,496409,1,1,,N/A,tcp,10.0.2.15,142.250.184.3,url,www.gstatic.com/
14978,495727,1,1,Suspicious TLS Evasion Found,spyware,tcp,10.0.2.15,142.250.184.3,spyware,www.gstatic.com/
93031,496723,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,142.250.184.164,vulnerability,www.google.com/
93031,496518,1,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.15,216.58.215.163,vulnerability,fonts.gstatic.com/
