ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,751400,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751402,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751404,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751408,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751409,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751411,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751412,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751414,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhROicg8o8BB5XdvlP7Ia4SDm8xk0rA6Nu1_ll-hwsAarcswmaqqseY6n4undJFchCd60whsYzr9yRnJFq7qD51HSFtxs0O-mPs6kcgMVAS/
9999,751507,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751509,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751511,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751513,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751515,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751517,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhROiIwdDDa0YbDNkvAf1mwfxkNbcw0/
9999,751580,1,1,,N/A,tcp,192.168.0.20,192.168.0.10,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751582,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhRIQGwXPqzE9qq7Y_2JyZLFWyg9QSaO
9999,751584,1,1,,N/A,tcp,192.168.0.20,192.168.0.11,url,www.tfgdns.local/DSfYhaKjtgfjTOVNhROiwQn3mCqgPF6zyFwwF/
