ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
93031,751674,14,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.10,156.146.59.6,vulnerability,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751674,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751675,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751676,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751677,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751678,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751679,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751683,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751681,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751682,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751680,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
93031,751688,5,1,TLS Encrypted Client Hello Extension Detection,info-leak,tcp,10.0.2.10,156.146.59.6,vulnerability,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751684,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751685,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751686,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751687,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751688,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751689,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
9999,751690,1,1,,N/A,tcp,10.0.2.10,156.146.59.6,url,blade5.newyork-rack452.nodes.gen4.ninja:9002/
