ID_regla,sessionid,repeatcnt,severity_number,Nombre_regla,thread_category,prot,src_ip,dst_ip,log_subtype,extra_data
9999,688102,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688103,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688104,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688105,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688109,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688110,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688108,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688106,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688107,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688111,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688114,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688113,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688112,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688115,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688116,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688120,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
59420,688086,46,1,Hydra User Agent Detection,hacktool,tcp,192.168.1.3,192.168.2.2,vulnerability,192.168.2.2/phpmyadmin/index.php
40129,688096,37,4,Hydra Brute-force Attempt,brute-force,tcp,192.168.1.3,192.168.2.2,vulnerability,192.168.2.2/phpmyadmin/index.php
9999,688086,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688091,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688090,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688092,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688093,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688089,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688094,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688095,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688088,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688096,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688097,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688098,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688099,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688087,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688100,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688101,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
56610,688102,16,1,IP Address Disclosure Detection,info-leak,tcp,192.168.1.3,192.168.2.2,vulnerability,192.168.2.2/phpmyadmin/index.php
9999,688117,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=bd06ec1783a27d7b0f81c5e5c9342bfe
9999,688118,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=a8e3c77b6383226d4a09c48eda0c5865
9999,688119,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=0b99759c020ffe5bb706fda317fbc237
9999,688121,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=fb109162e715f86406998fb196bc2a86
9999,688122,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=7ddc4cc9eb2913afcb1f02dcea074656
9999,688123,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=3460a2d420a9f4dc82fcb1913271ed96
9999,688124,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=f770c168885a7485fae4ad838dff5900
9999,688125,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=63d38f0fe9d3aa72c5d6e924a4e17a03
9999,688126,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=680946e66330d2e6c342891e0d395935
9999,688127,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=06271291d32ebf471033b3867e245aa1
9999,688128,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=247046213d65f41ae7e290f8851216b0
9999,688129,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=e56dd2bd5b54aebdeed92cbc953c0f71
9999,688130,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=400fdcc26608bd7fa26bb74fdc0c9774
9999,688131,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=cba767b503d58c87bb2a513f84af4e7b
9999,688147,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688151,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688154,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688153,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688159,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688152,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688157,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688156,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688158,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688155,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688160,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688161,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688162,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
9999,688163,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php
40129,688132,31,4,Hydra Brute-force Attempt,brute-force,tcp,192.168.1.3,192.168.2.2,vulnerability,192.168.2.2/phpmyadmin/index.php?token=17b28e71d4253e988f8cb401618f19af
9999,688132,1,1,,N/A,tcp,192.168.1.3,192.168.2.2,url,192.168.2.2/phpmyadmin/index.php?token=17b28e71d4253e988f8cb401618f19af
