PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,AD64D35D,192.168.10.130,192.168.10.140,65491,80,27145
ETOpen,2027793,ET TROJAN Covenant Framework HTTP Beacon,AD64D879,192.168.10.130,192.168.10.140,65491,80,27147
ETOpen,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,292571CF,192.168.10.150,192.168.10.140,53433,80,56547
ETOpen,2027793,ET TROJAN Covenant Framework HTTP Beacon,292576EB,192.168.10.150,192.168.10.140,53433,80,56549
ETOpen,2027326,ET TROJAN Covenant .NET Framework P2P C&C Protocol Gruntsvc Named Pipe Interaction,401EAF83,,,,,0
ETOpen,2027326,ET TROJAN Covenant .NET Framework P2P C&C Protocol Gruntsvc Named Pipe Interaction,401EB01D,,,,,0
ETOpen,2027793,ET TROJAN Covenant Framework HTTP Beacon,AD64F43E,192.168.10.130,192.168.10.140,65491,80,27197
ETOpen,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,AD64F43E,192.168.10.130,192.168.10.140,65491,80,27197
ETOpen,2027793,ET TROJAN Covenant Framework HTTP Beacon,29259722,192.168.10.150,192.168.10.140,53433,80,56609
ETOpen,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,29259722,192.168.10.150,192.168.10.140,53433,80,56609
ETOpen,2027793,ET TROJAN Covenant Framework HTTP Beacon,AD651449,192.168.10.130,192.168.10.140,65491,80,27247
ETOpen,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,AD651449,192.168.10.130,192.168.10.140,65491,80,27247
Talos,44489,"""POLICY-OTHER SMBv1 protocol detection attempt""",401EAAD3,,,,,0
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,AD64D26B,192.168.10.130,192.168.10.140,65491,80,27141
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,AD64D26B,192.168.10.130,192.168.10.140,65491,80,27141
ETOpenOpt,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,AD64D35D,192.168.10.130,192.168.10.140,65491,80,27145
ETOpenOpt,2027793,ET TROJAN Covenant Framework HTTP Beacon,AD64D879,192.168.10.130,192.168.10.140,65491,80,27147
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,292570DC,192.168.10.150,192.168.10.140,53433,80,56543
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,292570DC,192.168.10.150,192.168.10.140,53433,80,56543
ETOpenOpt,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,292571CF,192.168.10.150,192.168.10.140,53433,80,56547
ETOpenOpt,2027793,ET TROJAN Covenant Framework HTTP Beacon,292576EB,192.168.10.150,192.168.10.140,53433,80,56549
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2044666,ET INFO Outbound SMB Protocol Request to External Address,401EAAD3,,,,,0
ETOpenOpt,2051116,ET INFO Outbound SMB2 NTLM Auth Attempt to External Address,401EAC9C,,,,,0
ETOpenOpt,2027326,ET TROJAN Covenant .NET Framework P2P C&C Protocol Gruntsvc Named Pipe Interaction,401EAF83,,,,,0
ETOpenOpt,2027326,ET TROJAN Covenant .NET Framework P2P C&C Protocol Gruntsvc Named Pipe Interaction,401EB01D,,,,,0
ETOpenOpt,2027793,ET TROJAN Covenant Framework HTTP Beacon,AD64F43E,192.168.10.130,192.168.10.140,65491,80,27197
ETOpenOpt,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,AD64F43E,192.168.10.130,192.168.10.140,65491,80,27197
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2027793,ET TROJAN Covenant Framework HTTP Beacon,29259722,192.168.10.150,192.168.10.140,53433,80,56609
ETOpenOpt,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,29259722,192.168.10.150,192.168.10.140,53433,80,56609
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2101620,GPL POLICY TRAFFIC Non-Standard IP protocol,,,,,,0
ETOpenOpt,2027793,ET TROJAN Covenant Framework HTTP Beacon,AD651449,192.168.10.130,192.168.10.140,65491,80,27247
ETOpenOpt,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,AD651449,192.168.10.130,192.168.10.140,65491,80,27247
