PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2010937,ET SCAN Suspicious inbound to mySQL port 3306,48EBD058,172.16.17.3,172.16.17.2,47100,3306,44351
ETOpen,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,11E551FC,172.16.17.3,172.16.17.2,39582,1433,46714
ETOpen,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,47F8E619,172.16.17.3,172.16.17.2,51980,1521,2192
ETOpen,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,E7EA6E09,172.16.17.3,172.16.17.2,48680,5432,12273
ETOpen,2002910,ET SCAN Potential VNC Scan 5800-5820,50B62A0C,172.16.17.3,172.16.17.2,37640,5810,45703
ETOpen,2002911,ET SCAN Potential VNC Scan 5900-5920,ACFC6C2C,172.16.17.3,172.16.17.2,58192,5906,30185
ETOpenOpt,2010937,ET SCAN Suspicious inbound to mySQL port 3306,48EBD058,172.16.17.3,172.16.17.2,47100,3306,44351
ETOpenOpt,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,11E551FC,172.16.17.3,172.16.17.2,39582,1433,46714
ETOpenOpt,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,47F8E619,172.16.17.3,172.16.17.2,51980,1521,2192
ETOpenOpt,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,E7EA6E09,172.16.17.3,172.16.17.2,48680,5432,12273
ETOpenOpt,2002910,ET SCAN Potential VNC Scan 5800-5820,50B62A0C,172.16.17.3,172.16.17.2,37640,5810,45703
ETOpenOpt,2002911,ET SCAN Potential VNC Scan 5900-5920,ACFC6C2C,172.16.17.3,172.16.17.2,58192,5906,30185
