PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1421,"""PROTOCOL-SNMP AgentX/tcp request""",6C44F0E6,172.16.17.3,172.16.17.2,59334,705,57145
Community,1418,"""PROTOCOL-SNMP request tcp""",4A90F006,172.16.17.3,172.16.17.2,39778,161,45058
ETOpen,2010937,ET SCAN Suspicious inbound to mySQL port 3306,48EBD058,172.16.17.3,172.16.17.2,47100,3306,44351
ETOpen,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,11E551FC,172.16.17.3,172.16.17.2,39582,1433,46714
ETOpen,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,47F8E619,172.16.17.3,172.16.17.2,51980,1521,2192
ETOpen,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,E7EA6E09,172.16.17.3,172.16.17.2,48680,5432,12273
ETOpen,2002910,ET SCAN Potential VNC Scan 5800-5820,50B62A0C,172.16.17.3,172.16.17.2,37640,5810,45703
ETOpen,2002911,ET SCAN Potential VNC Scan 5900-5920,ACFC6C2C,172.16.17.3,172.16.17.2,58192,5906,30185
Talos,1421,"""PROTOCOL-SNMP AgentX/tcp request""",6C44F0E6,172.16.17.3,172.16.17.2,59334,705,57145
Talos,1418,"""PROTOCOL-SNMP request tcp""",4A90F006,172.16.17.3,172.16.17.2,39778,161,45058
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,4634659D,172.16.17.3,172.16.17.2,52492,80,8811
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,4634659D,172.16.17.3,172.16.17.2,52492,80,8811
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.16.17.2,172.16.17.3,80,52492,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.16.17.2,172.16.17.3,80,52492,0
ETOpenOpt,2010937,ET SCAN Suspicious inbound to mySQL port 3306,48EBD058,172.16.17.3,172.16.17.2,47100,3306,44351
ETOpenOpt,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,11E551FC,172.16.17.3,172.16.17.2,39582,1433,46714
ETOpenOpt,2101418,GPL SNMP request tcp,4A90F006,172.16.17.3,172.16.17.2,39778,161,45058
ETOpenOpt,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,47F8E619,172.16.17.3,172.16.17.2,51980,1521,2192
ETOpenOpt,2100615,GPL POLICY SOCKS Proxy attempt,12E45E6E,172.16.17.3,172.16.17.2,33564,1080,29664
ETOpenOpt,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,E7EA6E09,172.16.17.3,172.16.17.2,48680,5432,12273
ETOpenOpt,2002910,ET SCAN Potential VNC Scan 5800-5820,50B62A0C,172.16.17.3,172.16.17.2,37640,5810,45703
ETOpenOpt,2002911,ET SCAN Potential VNC Scan 5900-5920,ACFC6C2C,172.16.17.3,172.16.17.2,58192,5906,30185
