PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31793
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31794
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31795
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31796
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31797
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31798
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31799
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31800
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31801
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31802
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31803
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31804
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31805
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31806
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31807
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31808
ETOpen,2027792,ET TROJAN Covenant Framework Default HTTP Beacon,A8D7F96,192.168.10.150,192.168.10.140,59414,80,43468
ETOpen,2027793,ET TROJAN Covenant Framework HTTP Beacon,A8D84B2,192.168.10.150,192.168.10.140,59414,80,43470
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31793
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31794
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31795
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,64576,1900,31796
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31797
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31798
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31799
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62062,1900,31800
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31801
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31802
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31803
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,62361,1900,31804
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31805
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31806
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31807
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.150,239.255.255.250,61132,1900,31808
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,A8D7EA3,192.168.10.150,192.168.10.140,59414,80,43464
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,A8D7EA3,192.168.10.150,192.168.10.140,59414,80,43464
