PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,7F9F2306,192.168.0.30,192.168.0.20,1234,47230,18352
ETOpenOpt,2000418,ET POLICY Executable and linking format (ELF) file download,7F9F2306,192.168.0.30,192.168.0.20,1234,47230,18352
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,7FA0963E,192.168.0.30,192.168.0.20,1234,47230,18418
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,7FA5893E,192.168.0.30,192.168.0.20,1234,47230,18642
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),42FA9840,192.168.0.20,192.168.0.30,60784,21,17795
ETOpenOpt,2003410,ET POLICY FTP Login Successful,D45D9DEF,192.168.0.30,192.168.0.20,21,60784,48352
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,42FA9867,192.168.0.20,192.168.0.30,60784,21,17800
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),3B3614A7,192.168.0.20,192.168.0.30,60788,21,49795
ETOpenOpt,2003410,ET POLICY FTP Login Successful,7711027A,192.168.0.30,192.168.0.20,21,60788,26180
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,3B3614CE,192.168.0.20,192.168.0.30,60788,21,49800
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),E661863B,192.168.0.20,192.168.0.30,60792,21,56012
ETOpenOpt,2003410,ET POLICY FTP Login Successful,3C1853AE,192.168.0.30,192.168.0.20,21,60792,56819
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,E6618662,192.168.0.20,192.168.0.30,60792,21,56017
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),CFDDDD65,192.168.0.20,192.168.0.30,51514,21,58004
ETOpenOpt,2003410,ET POLICY FTP Login Successful,979F527,192.168.0.30,192.168.0.20,21,51514,46845
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,CFDDDD8C,192.168.0.20,192.168.0.30,51514,21,58009
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),76FB0CDF,192.168.0.20,192.168.0.30,51522,21,5457
ETOpenOpt,2003410,ET POLICY FTP Login Successful,3772C6A2,192.168.0.30,192.168.0.20,21,51522,30264
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,76FB0D06,192.168.0.20,192.168.0.30,51522,21,5462
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),A905FCC8,192.168.0.20,192.168.0.30,54472,21,44096
ETOpenOpt,2003410,ET POLICY FTP Login Successful,5F973DB0,192.168.0.30,192.168.0.20,21,54472,24105
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,A905FCEF,192.168.0.20,192.168.0.30,54472,21,44101
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),DCC40E92,192.168.0.20,192.168.0.30,48746,21,21768
ETOpenOpt,2003410,ET POLICY FTP Login Successful,8421C8B6,192.168.0.30,192.168.0.20,21,48746,54261
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,DCC40EB9,192.168.0.20,192.168.0.30,48746,21,21773
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),32707F59,192.168.0.20,192.168.0.30,55460,21,24949
ETOpenOpt,2003410,ET POLICY FTP Login Successful,88831D99,192.168.0.30,192.168.0.20,21,55460,24649
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,32707F80,192.168.0.20,192.168.0.30,55460,21,24954
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),47CEB232,192.168.0.20,192.168.0.30,55464,21,50800
ETOpenOpt,2003410,ET POLICY FTP Login Successful,AEBFFA5A,192.168.0.30,192.168.0.20,21,55464,41433
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,47CEB259,192.168.0.20,192.168.0.30,55464,21,50805
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),96C35725,192.168.0.20,192.168.0.30,55468,21,54108
ETOpenOpt,2003410,ET POLICY FTP Login Successful,D62016E5,192.168.0.30,192.168.0.20,21,55468,7515
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,96C3574C,192.168.0.20,192.168.0.30,55468,21,54113
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),E59C33A8,192.168.0.20,192.168.0.30,37664,21,2313
ETOpenOpt,2003410,ET POLICY FTP Login Successful,E508D179,192.168.0.30,192.168.0.20,21,37664,3547
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,E59C33CF,192.168.0.20,192.168.0.30,37664,21,2318
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),5D0D4B7E,192.168.0.20,192.168.0.30,37676,21,878
ETOpenOpt,2003410,ET POLICY FTP Login Successful,FE5F086A,192.168.0.30,192.168.0.20,21,37676,3190
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,5D0D4BA5,192.168.0.20,192.168.0.30,37676,21,883
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),14AE5343,192.168.0.20,192.168.0.30,37678,21,58536
ETOpenOpt,2003410,ET POLICY FTP Login Successful,40FC6AEC,192.168.0.30,192.168.0.20,21,37678,50222
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,14AE536A,192.168.0.20,192.168.0.30,37678,21,58541
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),E74B1F85,192.168.0.20,192.168.0.30,55224,21,36318
ETOpenOpt,2003410,ET POLICY FTP Login Successful,59439213,192.168.0.30,192.168.0.20,21,55224,36794
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,E74B1FAC,192.168.0.20,192.168.0.30,55224,21,36323
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),7AA52B7E,192.168.0.20,192.168.0.30,55226,21,3920
ETOpenOpt,2003410,ET POLICY FTP Login Successful,37002390,192.168.0.30,192.168.0.20,21,55226,2203
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,7AA52BA5,192.168.0.20,192.168.0.30,55226,21,3925
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),2EBC551F,192.168.0.20,192.168.0.30,37082,21,33647
