PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65AFE6,172.16.2.2,172.16.1.2,60880,8888,26633
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B2DA,172.16.2.2,172.16.1.2,60880,8888,26635
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B4D6,172.16.2.2,172.16.1.2,60880,8888,26637
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B6FE,172.16.2.2,172.16.1.2,60880,8888,26640
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B9F2,172.16.2.2,172.16.1.2,60880,8888,26642
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65AFE6,172.16.2.2,172.16.1.2,60880,8888,26633
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B2DA,172.16.2.2,172.16.1.2,60880,8888,26635
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B4D6,172.16.2.2,172.16.1.2,60880,8888,26637
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B6FE,172.16.2.2,172.16.1.2,60880,8888,26640
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B9F2,172.16.2.2,172.16.1.2,60880,8888,26642
