PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65AFE6,172.16.2.2,172.16.1.2,60880,8888,26633
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B2DA,172.16.2.2,172.16.1.2,60880,8888,26635
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B4D6,172.16.2.2,172.16.1.2,60880,8888,26637
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B6FE,172.16.2.2,172.16.1.2,60880,8888,26640
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,50564
ETOpen,2013028,ET POLICY curl User-Agent Outbound,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,50564
ETOpen,2016992,ET WEB_SERVER WebShell Generic - *.tar.gz in POST body,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,50564
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B9F2,172.16.2.2,172.16.1.2,60880,8888,26642
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,5708,"""POLICY-OTHER web server file upload attempt""",62D4D00B,172.16.2.2,172.16.1.2,60884,8888,6426
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,5708,"""POLICY-OTHER web server file upload attempt""",,,,,,
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,FE65AFE6,172.16.2.2,172.16.1.2,60880,8888,26633
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65AFE6,172.16.2.2,172.16.1.2,60880,8888,26633
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,FE65B2DA,172.16.2.2,172.16.1.2,60880,8888,57429
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B2DA,172.16.2.2,172.16.1.2,60880,8888,26635
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,FE65B4D6,172.16.2.2,172.16.1.2,60880,8888,57431
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B4D6,172.16.2.2,172.16.1.2,60880,8888,26637
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,FE65B6FE,172.16.2.2,172.16.1.2,60880,8888,57434
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B6FE,172.16.2.2,172.16.1.2,60880,8888,26640
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,6425
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,50564
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,50564
ETOpenOpt,2016992,ET WEB_SERVER WebShell Generic - *.tar.gz in POST body,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,50564
ETOpenOpt,2002824,ET POLICY CURL User Agent,62D4CF25,172.16.2.2,172.16.1.2,60884,8888,50564
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,FE65B9F2,172.16.2.2,172.16.1.2,60880,8888,57436
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),FE65B9F2,172.16.2.2,172.16.1.2,60880,8888,26642
