PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,2002FFEF,13.58.225.34,172.31.69.13,31337,51040,27242
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),20058A17,13.58.225.34,172.31.69.13,31337,51040,27356
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,A1877E82,13.58.225.34,172.31.69.13,31337,53445,55948
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),A18A08AA,13.58.225.34,172.31.69.13,31337,53445,56062
Talos,44728,"""INDICATOR-COMPROMISE Meterpreter payload download attempt""",2AD10676,13.58.225.34,172.31.69.13,31337,50887,41569
Talos,44728,"""INDICATOR-COMPROMISE Meterpreter payload download attempt""",200556C3,13.58.225.34,172.31.69.13,31337,51040,27347
Talos,44728,"""INDICATOR-COMPROMISE Meterpreter payload download attempt""",A189D556,13.58.225.34,172.31.69.13,31337,53445,56053
ETOpenOpt,2035480,ET INFO PE EXE Download over raw TCP,2002FFEF,13.58.225.34,172.31.69.13,31337,51040,27242
ETOpenOpt,2000419,ET POLICY PE EXE or DLL Windows file download Non-HTTP,2002FFEF,13.58.225.34,172.31.69.13,31337,51040,27242
ETOpenOpt,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),20058A17,13.58.225.34,172.31.69.13,31337,51040,27356
ETOpenOpt,2035480,ET INFO PE EXE Download over raw TCP,A1877E82,13.58.225.34,172.31.69.13,31337,53445,55948
ETOpenOpt,2000419,ET POLICY PE EXE or DLL Windows file download Non-HTTP,A1877E82,13.58.225.34,172.31.69.13,31337,53445,55948
ETOpenOpt,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),A18A08AA,13.58.225.34,172.31.69.13,31337,53445,56062
