PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,55E66E05,172.16.2.2,20.189.173.11,44979,443,22814
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55E66E05,172.16.2.2,20.189.173.11,44979,443,22814
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,55E66E05,172.16.2.2,20.189.173.11,44979,443,22173
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,55E66E05,172.16.2.2,20.189.173.11,44979,443,22173
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,55E66E05,172.16.2.2,20.189.173.11,44979,443,22173
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,3D957F8A,172.16.1.2,54.189.35.180,38302,443,21144
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,3D957F8A,172.16.1.2,54.189.35.180,38302,443,21144
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,1A4337AB,172.16.2.2,13.69.239.73,46435,443,29388
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,1A4337AB,172.16.2.2,13.69.239.73,46435,443,29491
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,1A4337AB,172.16.2.2,13.69.239.73,46435,443,29611
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,1A4337AB,172.16.2.2,13.69.239.73,46435,443,29877
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,1A4337AB,172.16.2.2,13.69.239.73,46435,443,31030
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),9E0CFE9,172.16.2.2,172.16.1.2,52566,21,39783
ETOpenOpt,2003410,ET POLICY FTP Login Successful,95CD5B80,172.16.1.2,172.16.2.2,21,52566,14650
ETOpenOpt,2015016,ET INFO FTP STOR to External Network,9E0D025,172.16.2.2,172.16.1.2,52566,21,39795
