PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,7306
Community,384,"""PROTOCOL-ICMP PING""",,,,,,7306
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,1258
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,18475
Community,384,"""PROTOCOL-ICMP PING""",,,,,,18475
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,1505
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,34744
Community,384,"""PROTOCOL-ICMP PING""",,,,,,34744
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,1650
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,42941
Community,384,"""PROTOCOL-ICMP PING""",,,,,,42941
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,1804
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,23133
Community,384,"""PROTOCOL-ICMP PING""",,,,,,23133
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2047
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,4167
Community,384,"""PROTOCOL-ICMP PING""",,,,,,4167
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2145
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,7798
Community,384,"""PROTOCOL-ICMP PING""",,,,,,7798
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2156
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,57827
Community,384,"""PROTOCOL-ICMP PING""",,,,,,57827
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2283
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,43537
Community,384,"""PROTOCOL-ICMP PING""",,,,,,43537
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2287
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,21746
Community,384,"""PROTOCOL-ICMP PING""",,,,,,21746
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2383
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,18206
Community,384,"""PROTOCOL-ICMP PING""",,,,,,18206
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2410
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,12213
Community,384,"""PROTOCOL-ICMP PING""",,,,,,12213
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2638
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,64127
Community,384,"""PROTOCOL-ICMP PING""",,,,,,64127
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2820
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,61285
Community,384,"""PROTOCOL-ICMP PING""",,,,,,61285
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2881
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,10901
Community,384,"""PROTOCOL-ICMP PING""",,,,,,10901
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2945
Community,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,2841
Community,384,"""PROTOCOL-ICMP PING""",,,,,,2841
Community,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,2992
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,7306
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,7306
Talos,31767,"""SERVER-OTHER MRLG fastping echo reply memory corruption attempt""",,,,,,1258
Talos,408,"""PROTOCOL-ICMP Echo Reply""",,,,,,1258
Talos,29456,"""PROTOCOL-ICMP Unusual PING detected""",,,,,,18475
Talos,384,"""PROTOCOL-ICMP PING""",,,,,,18475
