PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393018,172.16.2.2,172.16.1.2,51716,8888,23877
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673932F4,172.16.2.2,172.16.1.2,51716,8888,23880
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673934EC,172.16.2.2,172.16.1.2,51716,8888,23884
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673937D0,172.16.2.2,172.16.1.2,51716,8888,23887
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393AB4,172.16.2.2,172.16.1.2,51716,8888,23890
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393D98,172.16.2.2,172.16.1.2,51716,8888,23893
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),6739407C,172.16.2.2,172.16.1.2,51716,8888,23896
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67394360,172.16.2.2,172.16.1.2,51716,8888,23898
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673945EC,172.16.2.2,172.16.1.2,51716,8888,23901
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673948D0,172.16.2.2,172.16.1.2,51716,8888,23904
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67394BB4,172.16.2.2,172.16.1.2,51716,8888,23907
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393018,172.16.2.2,172.16.1.2,51716,8888,23877
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673932F4,172.16.2.2,172.16.1.2,51716,8888,23880
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673934EC,172.16.2.2,172.16.1.2,51716,8888,23884
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673937D0,172.16.2.2,172.16.1.2,51716,8888,23887
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393AB4,172.16.2.2,172.16.1.2,51716,8888,23890
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393D98,172.16.2.2,172.16.1.2,51716,8888,23893
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),6739407C,172.16.2.2,172.16.1.2,51716,8888,23896
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67394360,172.16.2.2,172.16.1.2,51716,8888,23898
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673945EC,172.16.2.2,172.16.1.2,51716,8888,23901
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67394BB4,172.16.2.2,172.16.1.2,51716,8888,23907
