PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,B0315D98,172.16.2.2,172.16.1.2,57986,8888,4872
ETOpen,2013028,ET POLICY curl User-Agent Outbound,B0315D98,172.16.2.2,172.16.1.2,57986,8888,4872
ETOpen,2019240,ET POLICY Executable and linking format (ELF) file download Over HTTP,2ACECAB2,172.16.1.2,172.16.2.2,8888,57986,4874
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393018,172.16.2.2,172.16.1.2,51716,8888,23877
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673932F4,172.16.2.2,172.16.1.2,51716,8888,23880
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673934EC,172.16.2.2,172.16.1.2,51716,8888,23884
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673937D0,172.16.2.2,172.16.1.2,51716,8888,23887
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393AB4,172.16.2.2,172.16.1.2,51716,8888,23890
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393D98,172.16.2.2,172.16.1.2,51716,8888,23893
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),6739407C,172.16.2.2,172.16.1.2,51716,8888,23896
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67394360,172.16.2.2,172.16.1.2,51716,8888,23898
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673945EC,172.16.2.2,172.16.1.2,51716,8888,23901
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673948D0,172.16.2.2,172.16.1.2,51716,8888,23904
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67394BB4,172.16.2.2,172.16.1.2,51716,8888,23907
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,B0315D97,172.16.2.2,172.16.1.2,57986,8888,23499
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,B0315D97,172.16.2.2,172.16.1.2,57986,8888,23499
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,2ACEC9BB,172.16.1.2,172.16.2.2,8888,57986,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,2ACEC9BB,172.16.1.2,172.16.2.2,8888,57986,0
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,B0315D98,172.16.2.2,172.16.1.2,57986,8888,23501
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,B0315D98,172.16.2.2,172.16.1.2,57986,8888,4872
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,B0315D98,172.16.2.2,172.16.1.2,57986,8888,4872
ETOpenOpt,2002824,ET POLICY CURL User Agent,B0315D98,172.16.2.2,172.16.1.2,57986,8888,4872
ETOpenOpt,2019240,ET POLICY Executable and linking format (ELF) file download Over HTTP,2ACECAB2,172.16.1.2,172.16.2.2,8888,57986,4874
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,2AD6C49A,172.16.1.2,172.16.2.2,8888,57986,5235
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,2AD6A2AA,172.16.1.2,172.16.2.2,8888,57986,23606
ETOpenOpt,2101200,GPL ATTACK_RESPONSE Invalid URL,2B0245C2,172.16.1.2,172.16.2.2,8888,57986,7204
ETOpenOpt,2101390,GPL SHELLCODE x86 inc ebx NOOP,2B24C32A,172.16.1.2,172.16.2.2,8888,57986,8765
ETOpenOpt,2101390,GPL SHELLCODE x86 inc ebx NOOP,2B24A13A,172.16.1.2,172.16.2.2,8888,57986,24032
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,67393018,172.16.2.2,172.16.1.2,51716,8888,53024
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),67393018,172.16.2.2,172.16.1.2,51716,8888,23877
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,673932F4,172.16.2.2,172.16.1.2,51716,8888,53027
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673932F4,172.16.2.2,172.16.1.2,51716,8888,23880
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,673934EC,172.16.2.2,172.16.1.2,51716,8888,53031
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673934EC,172.16.2.2,172.16.1.2,51716,8888,23884
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,673937D0,172.16.2.2,172.16.1.2,51716,8888,53035
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),673937D0,172.16.2.2,172.16.1.2,51716,8888,23887
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,67393AB4,172.16.2.2,172.16.1.2,51716,8888,53039
