PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37611
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37612
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37615
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37616
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37617
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37619
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37620
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37621
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37622
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37623
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37625
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37626
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37627
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37628
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,37589,53,37629
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37638
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37640
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37641
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37642
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37643
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37644
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37646
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37647
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37648
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37649
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37650
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37652
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37653
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37654
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37655
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37656
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37658
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37659
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37660
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37661
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,52137,53,37662
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37671
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37673
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37674
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37675
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37676
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37677
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37679
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37680
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37681
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37682
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37683
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37685
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37686
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37687
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37688
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37689
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37691
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37692
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37693
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37694
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,55172,53,37695
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37704
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37706
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37707
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37708
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37709
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37710
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37712
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37713
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37714
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37715
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37716
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37717
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37718
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37719
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37720
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37721
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37722
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37723
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37724
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37725
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,58190,53,37726
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37729
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37730
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37731
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37732
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37734
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37735
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37736
Talos,54827,"""MALWARE-TOOLS dnscat dns tunneling detected""",,10.10.1.9,10.10.1.6,39781,53,37737
