PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CECFC,192.168.0.100,172.16.1.2,49257,8888,18126
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF008,192.168.0.100,172.16.1.2,49257,8888,18129
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF20C,192.168.0.100,172.16.1.2,49257,8888,18132
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF520,192.168.0.100,172.16.1.2,49257,8888,18136
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF834,192.168.0.100,172.16.1.2,49257,8888,18139
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFCD9,192.168.0.100,172.16.1.2,49257,8888,18142
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFFED,192.168.0.100,172.16.1.2,49257,8888,18145
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CECFC,192.168.0.100,172.16.1.2,49257,8888,18126
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF008,192.168.0.100,172.16.1.2,49257,8888,18129
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF20C,192.168.0.100,172.16.1.2,49257,8888,18132
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF520,192.168.0.100,172.16.1.2,49257,8888,18136
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF834,192.168.0.100,172.16.1.2,49257,8888,18139
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFCD9,192.168.0.100,172.16.1.2,49257,8888,18142
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFFED,192.168.0.100,172.16.1.2,49257,8888,18145
