PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,D1FFEDF2,172.16.1.2,192.168.0.100,8888,49254,20840
ETOpen,2016538,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download,D1FFEDF2,172.16.1.2,192.168.0.100,8888,49254,20840
ETOpen,2016538,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download,D1FFEDF2,172.16.1.2,192.168.0.100,8888,49254,20840
ETOpen,2014520,ET INFO EXE - Served Attached HTTP,D1FFECF8,172.16.1.2,192.168.0.100,8888,49254,29487
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CECFC,192.168.0.100,172.16.1.2,49257,8888,18126
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF008,192.168.0.100,172.16.1.2,49257,8888,18129
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF20C,192.168.0.100,172.16.1.2,49257,8888,18132
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF520,192.168.0.100,172.16.1.2,49257,8888,18136
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF834,192.168.0.100,172.16.1.2,49257,8888,18139
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFCD9,192.168.0.100,172.16.1.2,49257,8888,18142
ETOpen,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFFED,192.168.0.100,172.16.1.2,49257,8888,18145
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,E70D3309,192.168.0.100,172.16.1.2,49254,8888,29483
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,E70D3309,192.168.0.100,172.16.1.2,49254,8888,29483
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,D1FFECF7,172.16.1.2,192.168.0.100,8888,49254,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,D1FFECF7,172.16.1.2,192.168.0.100,8888,49254,0
ETOpenOpt,2006408,ET POLICY HTTP Request on Unusual Port Possibly Hostile,E70D330A,192.168.0.100,172.16.1.2,49254,8888,29485
ETOpenOpt,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,D1FFEDF2,172.16.1.2,192.168.0.100,8888,49254,20840
ETOpenOpt,2016538,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download,D1FFEDF2,172.16.1.2,192.168.0.100,8888,49254,20840
ETOpenOpt,2016538,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download,D1FFEDF2,172.16.1.2,192.168.0.100,8888,49254,20840
ETOpenOpt,2014520,ET INFO EXE - Served Attached HTTP,D1FFECF8,172.16.1.2,192.168.0.100,8888,49254,29487
ETOpenOpt,2016538,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download,D1FFECF8,172.16.1.2,192.168.0.100,8888,49254,29487
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,D207F8C6,172.16.1.2,192.168.0.100,8888,49254,21202
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,D207F8C6,172.16.1.2,192.168.0.100,8888,49254,29504
ETOpenOpt,2101200,GPL ATTACK_RESPONSE Invalid URL,D233A2E6,172.16.1.2,192.168.0.100,8888,49254,23430
ETOpenOpt,2101390,GPL SHELLCODE x86 inc ebx NOOP,D25685FE,172.16.1.2,192.168.0.100,8888,49254,25216
ETOpenOpt,2101390,GPL SHELLCODE x86 inc ebx NOOP,D255E64E,172.16.1.2,192.168.0.100,8888,49254,30492
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,BF0CECFC,192.168.0.100,172.16.1.2,49257,8888,30509
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CECFC,192.168.0.100,172.16.1.2,49257,8888,18126
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,BF0CF008,192.168.0.100,172.16.1.2,49257,8888,30511
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF008,192.168.0.100,172.16.1.2,49257,8888,18129
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,BF0CF20C,192.168.0.100,172.16.1.2,49257,8888,30514
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF20C,192.168.0.100,172.16.1.2,49257,8888,18132
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,BF0CF520,192.168.0.100,172.16.1.2,49257,8888,30519
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF520,192.168.0.100,172.16.1.2,49257,8888,18136
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,BF0CF834,192.168.0.100,172.16.1.2,49257,8888,30521
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CF834,192.168.0.100,172.16.1.2,49257,8888,18139
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,BF0CFCD9,192.168.0.100,172.16.1.2,49257,8888,30525
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFCD9,192.168.0.100,172.16.1.2,49257,8888,18142
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,BF0CFFED,192.168.0.100,172.16.1.2,49257,8888,30527
ETOpenOpt,2043217,ET TROJAN Golang/Sandcat Plugin Activity (POST),BF0CFFED,192.168.0.100,172.16.1.2,49257,8888,18145
