PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2034567,ET INFO curl User-Agent to Dotted Quad,48212686,172.16.2.2,172.16.1.2,55886,8888,48549
ETOpen,2013028,ET POLICY curl User-Agent Outbound,48212686,172.16.2.2,172.16.1.2,55886,8888,48549
ETOpen,2019240,ET POLICY Executable and linking format (ELF) file download Over HTTP,F6A465C7,172.16.1.2,172.16.2.2,8888,55886,48551
ETOpen,2044770,ET INFO Whoami Command Inbound On High Port,3E4E0C5C,172.16.1.2,172.16.2.2,7010,53296,26754
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,48212685,172.16.2.2,172.16.1.2,55886,8888,63470
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,48212685,172.16.2.2,172.16.1.2,55886,8888,63470
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,F6A464D6,172.16.1.2,172.16.2.2,8888,55886,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,F6A464D6,172.16.1.2,172.16.2.2,8888,55886,0
ETOpenOpt,2006409,ET POLICY HTTP POST on unusual Port Possibly Hostile,48212686,172.16.2.2,172.16.1.2,55886,8888,63472
ETOpenOpt,2034567,ET INFO curl User-Agent to Dotted Quad,48212686,172.16.2.2,172.16.1.2,55886,8888,48549
ETOpenOpt,2013028,ET POLICY curl User-Agent Outbound,48212686,172.16.2.2,172.16.1.2,55886,8888,48549
ETOpenOpt,2002824,ET POLICY CURL User Agent,48212686,172.16.2.2,172.16.1.2,55886,8888,48549
ETOpenOpt,2019240,ET POLICY Executable and linking format (ELF) file download Over HTTP,F6A465C7,172.16.1.2,172.16.2.2,8888,55886,48551
ETOpenOpt,2101200,GPL ATTACK_RESPONSE Invalid URL,F6D4B7FF,172.16.1.2,172.16.2.2,8888,55886,50738
ETOpenOpt,2101200,GPL ATTACK_RESPONSE Invalid URL,F6D4ACAF,172.16.1.2,172.16.2.2,8888,55886,64181
ETOpenOpt,2044770,ET INFO Whoami Command Inbound On High Port,3E4E0C5C,172.16.1.2,172.16.2.2,7010,53296,26754
