PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,7A945B5E,192.168.0.30,192.168.0.20,1234,51962,1406
ETOpen,2014906,ET INFO .exe File requested over FTP,16CF2B14,192.168.0.20,192.168.0.30,49884,21,37818
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,2EB71962,192.168.0.30,192.168.0.20,44524,50408,50756
ETOpen,2000418,ET POLICY Executable and linking format (ELF) file download,EF26BA87,192.168.0.30,192.168.0.20,57888,40270,59950
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,B9115BE6,192.168.0.20,192.168.0.30,36320,1234,14651
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,B9115BE6,192.168.0.20,192.168.0.30,36320,1234,14651
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,192.168.0.30,192.168.0.20,1234,36320,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,192.168.0.30,192.168.0.20,1234,36320,0
ETOpenOpt,2000418,ET POLICY Executable and linking format (ELF) file download,7A945B5E,192.168.0.30,192.168.0.20,1234,51962,1406
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,7A95D0AE,192.168.0.30,192.168.0.20,1234,51962,1472
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,7A9AD4A6,192.168.0.30,192.168.0.20,1234,51962,1699
ETOpenOpt,2011803,ET SHELLCODE Possible TCP x86 JMP to CALL Shellcode Detected,7A9C444E,192.168.0.30,192.168.0.20,1234,51962,1764
ETOpenOpt,2003303,ET POLICY FTP Login Attempt (non-anonymous),16CF2AC0,192.168.0.20,192.168.0.30,49884,21,37803
ETOpenOpt,2003410,ET POLICY FTP Login Successful,3B31DC17,192.168.0.30,192.168.0.20,21,49884,39670
ETOpenOpt,2014906,ET INFO .exe File requested over FTP,16CF2B14,192.168.0.20,192.168.0.30,49884,21,37818
ETOpenOpt,2000418,ET POLICY Executable and linking format (ELF) file download,2EB71962,192.168.0.30,192.168.0.20,44524,50408,50756
ETOpenOpt,2000418,ET POLICY Executable and linking format (ELF) file download,EF26BA87,192.168.0.30,192.168.0.20,57888,40270,59950
ETOpenOpt,2027768,ET EXPLOIT Possible VXWORKS Urgent11 RCE Attempt - Urgent Flag,16CF2B9E,192.168.0.20,192.168.0.30,49884,21,37831
