PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,7CB43762,18.221.219.4,172.31.69.25,39922,21,13084
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,39922,21817
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,39922,21817
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,3D3E8068,18.221.219.4,172.31.69.25,35570,21,58352
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,35570,11565
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,35570,11565
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,3F8DC384,18.221.219.4,172.31.69.25,59470,21,180
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,59470,2218
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,59470,2218
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,FD5CAFCE,18.221.219.4,172.31.69.25,55138,21,36104
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,55138,58621
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,55138,58621
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,DC748009,18.221.219.4,172.31.69.25,50806,21,595
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,50806,50053
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,50806,50053
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,C9B7BB6E,18.221.219.4,172.31.69.25,46474,21,23198
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,46474,39239
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,46474,39239
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,1162CF9B,18.221.219.4,172.31.69.25,42122,21,36378
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,42122,29715
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,42122,29715
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,DAD89F96,18.221.219.4,172.31.69.25,37792,21,16014
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,37792,18974
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,37792,18974
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,3F36CCAD,18.221.219.4,172.31.69.25,33458,21,52224
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,33458,10049
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,33458,10049
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,727EAEF,18.221.219.4,172.31.69.25,57358,21,35502
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,0,172.31.69.25,18.221.219.4,21,57358,1270
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,0,172.31.69.25,18.221.219.4,21,57358,1270
