PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,BF6C1AB1,192.168.10.6,192.168.10.5,62081,80,2017
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,BF6C25D4,192.168.10.6,192.168.10.5,62081,80,2019
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396A033,192.168.10.6,192.168.10.5,62082,80,2029
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396AB56,192.168.10.6,192.168.10.5,62082,80,2031
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396B512,192.168.10.6,192.168.10.5,62082,80,2035
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396BF49,192.168.10.6,192.168.10.5,62082,80,2039
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396C980,192.168.10.6,192.168.10.5,62082,80,2043
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FB98A4,192.168.10.6,192.168.10.5,62083,80,2048
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBAE88,192.168.10.6,192.168.10.5,62083,80,2053
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBBA26,192.168.10.6,192.168.10.5,62083,80,2056
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCF8685,192.168.10.6,192.168.10.5,62084,80,2064
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCF90ED,192.168.10.6,192.168.10.5,62084,80,2067
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCF9C8B,192.168.10.6,192.168.10.5,62084,80,2070
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBD00A,192.168.10.6,192.168.10.5,62083,80,2075
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBDA8E,192.168.10.6,192.168.10.5,62083,80,2079
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCFA6F3,192.168.10.6,192.168.10.5,62084,80,2085
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCFB15B,192.168.10.6,192.168.10.5,62084,80,2089
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBF096,192.168.10.6,192.168.10.5,62083,80,2092
ETOpen,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBFD73,192.168.10.6,192.168.10.5,62083,80,2098
Talos,44604,"""SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt""",8345731C,192.168.10.5,192.168.10.10,10032,389,2399
Talos,44604,"""SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt""",7AAA8A44,192.168.10.5,192.168.10.10,10033,389,2407
Talos,44604,"""SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt""",80263235,192.168.10.5,192.168.10.10,10034,389,2415
Talos,15935,"""PROTOCOL-DNS dns response for rfc1918 192.168/16 address detected""",,192.168.10.10,192.168.10.6,53,50709,30406
Talos,44489,"""POLICY-OTHER SMBv1 protocol detection attempt""",FD30CC93,192.168.10.5,192.168.10.10,10047,445,2834
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,BF6C1AB1,192.168.10.6,192.168.10.5,62081,80,2017
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,BF6C25D4,192.168.10.6,192.168.10.5,62081,80,2019
ETOpenOpt,2036224,ET INFO Potential Forced OGNL Evaluation - HTTP Body,BF6C25D4,192.168.10.6,192.168.10.5,62081,80,50564
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396A033,192.168.10.6,192.168.10.5,62082,80,2029
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396AB56,192.168.10.6,192.168.10.5,62082,80,2031
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396B512,192.168.10.6,192.168.10.5,62082,80,2035
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396BF49,192.168.10.6,192.168.10.5,62082,80,2039
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,8396C980,192.168.10.6,192.168.10.5,62082,80,2043
ETOpenOpt,2044666,ET INFO Outbound SMB Protocol Request to External Address,FD30CC93,192.168.10.5,192.168.10.10,10047,445,2834
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FB98A4,192.168.10.6,192.168.10.5,62083,80,2048
ETOpenOpt,2009345,ET ATTACK_RESPONSE HTTP 401 Unauthorized,7FC31542,192.168.10.5,192.168.10.6,80,62083,2053
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBAE88,192.168.10.6,192.168.10.5,62083,80,2053
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBBA26,192.168.10.6,192.168.10.5,62083,80,2056
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCF8685,192.168.10.6,192.168.10.5,62084,80,2064
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCF90ED,192.168.10.6,192.168.10.5,62084,80,2067
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCF9C8B,192.168.10.6,192.168.10.5,62084,80,2070
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBD00A,192.168.10.6,192.168.10.5,62083,80,2075
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBDA8E,192.168.10.6,192.168.10.5,62083,80,2079
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCFA6F3,192.168.10.6,192.168.10.5,62084,80,2085
ETOpenOpt,2036224,ET INFO Potential Forced OGNL Evaluation - HTTP Body,DBCFA6F3,192.168.10.6,192.168.10.5,62084,80,50630
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,DBCFB15B,192.168.10.6,192.168.10.5,62084,80,2089
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBF096,192.168.10.6,192.168.10.5,62083,80,2092
ETOpenOpt,2026850,ET USER_AGENTS WinRM User Agent Detected - Possible Lateral Movement,57FBFD73,192.168.10.6,192.168.10.5,62083,80,2098
