PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12032
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12206
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12425
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12500
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,33644
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,33756
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,33951
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,34150
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12032
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12206
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12425
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,52062,1900,12500
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,33644
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,33756
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,33951
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.10.1,239.255.255.250,56188,1900,34150
