PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,91876FB9,192.168.10.1,192.168.10.2,46396,80,36158
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,91876C3B,192.168.10.1,192.168.10.2,46396,80,41693
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,91876C3B,192.168.10.1,192.168.10.2,46396,80,41693
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,CC6D6DFA,192.168.10.2,192.168.10.1,80,46396,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,CC6D6DFA,192.168.10.2,192.168.10.1,80,46396,0
ETOpenOpt,2011085,ET POLICY HTTP Redirect to IPv4 Address,CC6D6DFB,192.168.10.2,192.168.10.1,80,46396,41696
ETOpenOpt,2016141,ET INFO Executable Download from dotted-quad Host,91876FB9,192.168.10.1,192.168.10.2,46396,80,36158
ETOpenOpt,2003595,ET POLICY exe download via HTTP - Informational,91876FB9,192.168.10.1,192.168.10.2,46396,80,36158
