PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,2DE60834,18.218.115.60,172.31.69.28,59901,80,4768
ETOpen,2011037,ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION,DDC211B6,18.218.115.60,172.31.69.28,59904,80,3589
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,DDC211B6,18.218.115.60,172.31.69.28,59904,80,3589
ETOpen,2010963,ET WEB_SERVER SELECT USER SQL Injection Attempt in URI,B6B4FEBA,18.218.115.60,172.31.69.28,59907,80,13222
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,B6B4FEBA,18.218.115.60,172.31.69.28,59907,80,13222
ETOpen,2010963,ET WEB_SERVER SELECT USER SQL Injection Attempt in URI,B6B50112,18.218.115.60,172.31.69.28,59907,80,13224
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,B6B50112,18.218.115.60,172.31.69.28,59907,80,13224
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,19D1E7A5,18.218.115.60,172.31.69.28,59912,80,588
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,9AF10223,18.218.115.60,172.31.69.28,59917,80,46104
ETOpen,2017808,ET WEB_SERVER Possible MySQL SQLi Attempt Information Schema Access,ECC43637,18.218.115.60,172.31.69.28,59922,80,49915
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,ECC43637,18.218.115.60,172.31.69.28,59922,80,49915
ETOpen,2006445,ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM,ECC43637,18.218.115.60,172.31.69.28,59922,80,49915
ETOpen,2017808,ET WEB_SERVER Possible MySQL SQLi Attempt Information Schema Access,537253F4,18.218.115.60,172.31.69.28,59923,80,57110
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,537253F4,18.218.115.60,172.31.69.28,59923,80,57110
ETOpen,2006445,ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM,537253F4,18.218.115.60,172.31.69.28,59923,80,57110
ETOpen,2017337,ET WEB_SERVER ATTACKER SQLi - SELECT and Schema Columns M1,8A1F3BBB,18.218.115.60,172.31.69.28,59936,80,58852
ETOpen,2017808,ET WEB_SERVER Possible MySQL SQLi Attempt Information Schema Access,8A1F3BBB,18.218.115.60,172.31.69.28,59936,80,58852
ETOpen,2010963,ET WEB_SERVER SELECT USER SQL Injection Attempt in URI,8A1F3BBB,18.218.115.60,172.31.69.28,59936,80,58852
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,8A1F3BBB,18.218.115.60,172.31.69.28,59936,80,58852
ETOpen,2006445,ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM,8A1F3BBB,18.218.115.60,172.31.69.28,59936,80,58852
ETOpen,2011042,ET WEB_SERVER MYSQL SELECT CONCAT SQL Injection Attempt,A1B5BBB9,18.218.115.60,172.31.69.28,59957,80,8863
ETOpen,2010963,ET WEB_SERVER SELECT USER SQL Injection Attempt in URI,A1B5BBB9,18.218.115.60,172.31.69.28,59957,80,8863
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,A1B5BBB9,18.218.115.60,172.31.69.28,59957,80,8863
ETOpen,2006445,ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM,A1B5BBB9,18.218.115.60,172.31.69.28,59957,80,8863
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,D5CD25B4,18.218.115.60,172.31.69.28,49156,80,28206
ETOpen,2011037,ET WEB_SERVER Possible Attempt to Get SQL Server Version in URI using SELECT VERSION,2AA21DC9,18.218.115.60,172.31.69.28,49158,80,41788
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,2AA21DC9,18.218.115.60,172.31.69.28,49158,80,41788
ETOpen,2010963,ET WEB_SERVER SELECT USER SQL Injection Attempt in URI,4EF9478A,18.218.115.60,172.31.69.28,49165,80,10548
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,4EF9478A,18.218.115.60,172.31.69.28,49165,80,10548
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,2FAE303F,18.218.115.60,172.31.69.28,49168,80,10247
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,4B66B564,18.218.115.60,172.31.69.28,49183,80,17915
