PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1061,"""SQL xp_cmdshell attempt""",446F85E9,192.168.1.3,192.168.2.2,37832,80,38310
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1147,"""SERVER-WEBAPP cat_ access""",,,,,,
ETOpen,2017808,ET WEB_SERVER Possible MySQL SQLi Attempt Information Schema Access,446F85E9,192.168.1.3,192.168.2.2,37832,80,43284
ETOpen,2009815,ET WEB_SERVER Attempt To Access MSSQL xp_cmdshell Stored Procedure Via URI,446F85E9,192.168.1.3,192.168.2.2,37832,80,43284
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,446F85E9,192.168.1.3,192.168.2.2,37832,80,43284
ETOpen,2006446,ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT,446F85E9,192.168.1.3,192.168.2.2,37832,80,43284
ETOpen,2006445,ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM,446F85E9,192.168.1.3,192.168.2.2,37832,80,43284
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,82AE76CA,192.168.1.3,192.168.2.2,37834,80,12486
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,F7BC9AA8,192.168.1.3,192.168.2.2,37836,80,26669
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,64A1D21A,192.168.1.3,192.168.2.2,37838,80,52636
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,53B63C9D,192.168.1.3,192.168.2.2,37840,80,35429
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,F59262D6,192.168.1.3,192.168.2.2,37842,80,56438
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,64C55041,192.168.1.3,192.168.2.2,37846,80,23545
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,8E6909EA,192.168.1.3,192.168.2.2,37850,80,4719
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,DDC220A5,192.168.1.3,192.168.2.2,37848,80,10793
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,E3D15396,192.168.1.3,192.168.2.2,37852,80,27189
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,28B7BBFF,192.168.1.3,192.168.2.2,37854,80,22295
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,1FCFE31A,192.168.1.3,192.168.2.2,37856,80,15117
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,5E67F75,192.168.1.3,192.168.2.2,37858,80,12209
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,BC733876,192.168.1.3,192.168.2.2,37860,80,34091
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,D184496E,192.168.1.3,192.168.2.2,37862,80,1415
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,3FB7076C,192.168.1.3,192.168.2.2,37866,80,49855
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,38CBA8BA,192.168.1.3,192.168.2.2,37864,80,35258
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,308EB073,192.168.1.3,192.168.2.2,37870,80,41984
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,592CB20C,192.168.1.3,192.168.2.2,37872,80,15674
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,E82CF06B,192.168.1.3,192.168.2.2,37874,80,8792
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,107B4E9B,192.168.1.3,192.168.2.2,37878,80,14283
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,D1DBC6BF,192.168.1.3,192.168.2.2,37880,80,46814
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,5269C117,192.168.1.3,192.168.2.2,37882,80,12505
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,2F7015D7,192.168.1.3,192.168.2.2,37888,80,61503
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,C7785D92,192.168.1.3,192.168.2.2,37886,80,15352
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,EB6B8FB3,192.168.1.3,192.168.2.2,37890,80,24234
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,6D160E3F,192.168.1.3,192.168.2.2,37894,80,40650
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,72C2B238,192.168.1.3,192.168.2.2,37892,80,40250
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,E374C060,192.168.1.3,192.168.2.2,37896,80,1689
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,4647FFCF,192.168.1.3,192.168.2.2,37898,80,25992
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,81997B80,192.168.1.3,192.168.2.2,37900,80,40243
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,C3E30A6,192.168.1.3,192.168.2.2,37902,80,56268
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,288BB39D,192.168.1.3,192.168.2.2,37906,80,40427
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,6A6DB884,192.168.1.3,192.168.2.2,37904,80,8916
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,A6CDA782,192.168.1.3,192.168.2.2,37908,80,35126
ETOpen,2008538,ET SCAN Sqlmap SQL Injection Scan,9B17BF14,192.168.1.3,192.168.2.2,37910,80,54554
