PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,64767,1900,39117
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,64767,1900,39118
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,64767,1900,39119
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,64767,1900,39120
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,62725,1900,39121
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,62725,1900,39122
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,62725,1900,39123
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.10,239.255.255.250,62725,1900,39124
ETOpen,2035480,ET INFO PE EXE Download over raw TCP,CB021860,192.168.0.2,192.168.0.10,1234,49836,32362
ETOpen,2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),CB044194,192.168.0.2,192.168.0.10,1234,49836,32459
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,45CDFC2B,192.168.0.10,192.168.0.2,49841,80,44417
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,45CDFC2B,192.168.0.10,192.168.0.2,49841,80,44417
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,D087BCAF,192.168.0.10,192.168.0.2,49842,80,49081
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,D087BCAF,192.168.0.10,192.168.0.2,49842,80,49081
ETOpen,2021076,ET INFO SUSPICIOUS Dotted Quad Host MZ Response,36DBA26C,192.168.0.2,192.168.0.10,80,49842,49083
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,36DBA26C,192.168.0.2,192.168.0.10,80,49842,49083
ETOpen,2021076,ET INFO SUSPICIOUS Dotted Quad Host MZ Response,36DBA26C,192.168.0.2,192.168.0.10,80,49842,49083
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,7F5DAD0F,192.168.0.10,192.168.0.2,49843,80,40237
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,7F5DAD0F,192.168.0.10,192.168.0.2,49843,80,40237
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,1CD11F79,192.168.0.10,192.168.0.2,49844,80,37698
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,1CD11F79,192.168.0.10,192.168.0.2,49844,80,37698
ETOpen,2021076,ET INFO SUSPICIOUS Dotted Quad Host MZ Response,EB375949,192.168.0.2,192.168.0.10,80,49844,37700
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,EB375949,192.168.0.2,192.168.0.10,80,49844,37700
ETOpen,2021076,ET INFO SUSPICIOUS Dotted Quad Host MZ Response,EB375949,192.168.0.2,192.168.0.10,80,49844,37700
ETOpen,2022858,ET CURRENT_EVENTS Suspicious BITS EXE DL From Dotted Quad,4ECC7C1,192.168.0.10,192.168.0.2,49845,80,21484
ETOpen,2016141,ET INFO Executable Download from dotted-quad Host,4ECC7C1,192.168.0.10,192.168.0.2,49845,80,21484
ETOpen,2021076,ET INFO SUSPICIOUS Dotted Quad Host MZ Response,2F41502F,192.168.0.2,192.168.0.10,80,49845,21486
ETOpen,2018959,ET POLICY PE EXE or DLL Windows file download HTTP,2F41502F,192.168.0.2,192.168.0.10,80,49845,21486
ETOpen,2021076,ET INFO SUSPICIOUS Dotted Quad Host MZ Response,2F41502F,192.168.0.2,192.168.0.10,80,49845,21486
