PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334B9425,18.218.115.60,172.31.69.28,63781,80,2094
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334B987E,18.218.115.60,172.31.69.28,63781,80,2098
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334B9CD7,18.218.115.60,172.31.69.28,63781,80,2102
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BA130,18.218.115.60,172.31.69.28,63781,80,2106
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BA589,18.218.115.60,172.31.69.28,63781,80,2110
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BA9E2,18.218.115.60,172.31.69.28,63781,80,2114
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BAE3B,18.218.115.60,172.31.69.28,63781,80,2118
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BB294,18.218.115.60,172.31.69.28,63781,80,2122
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BB6ED,18.218.115.60,172.31.69.28,63781,80,2126
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BBB46,18.218.115.60,172.31.69.28,63781,80,2130
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BBF9F,18.218.115.60,172.31.69.28,63781,80,2134
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BC3F8,18.218.115.60,172.31.69.28,63781,80,2138
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BC851,18.218.115.60,172.31.69.28,63781,80,2142
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BCCAA,18.218.115.60,172.31.69.28,63781,80,2146
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BD103,18.218.115.60,172.31.69.28,63781,80,2150
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BD55C,18.218.115.60,172.31.69.28,63781,80,2154
ETOpen,2009714,ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt,334BD9B5,18.218.115.60,172.31.69.28,63781,80,2158
