PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,42944,"""OS-WINDOWS Microsoft Windows SMB remote code execution attempt""",,,,,,
ETOpen,2025992,ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags),5D138365,192.168.1.3,192.168.2.2,34875,445,14096
ETOpen,2025649,ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style),5D138365,192.168.1.3,192.168.2.2,34875,445,14096
ETOpen,2025650,ET EXPLOIT ETERNALBLUE Probe Vulnerable System Response MS17-010,B6258BF0,192.168.2.2,192.168.1.3,445,34875,2451
ETOpen,2024297,ET EXPLOIT ETERNALBLUE Exploit M2 MS17-010,85AF08D2,192.168.1.3,192.168.2.2,35325,445,17908
Talos,42944,"""OS-WINDOWS Microsoft Windows SMB remote code execution attempt""",,,,,,
ETOpenOpt,2025992,ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags),5D138365,192.168.1.3,192.168.2.2,34875,445,14096
ETOpenOpt,2025649,ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style),5D138365,192.168.1.3,192.168.2.2,34875,445,14096
ETOpenOpt,2025650,ET EXPLOIT ETERNALBLUE Probe Vulnerable System Response MS17-010,B6258BF0,192.168.2.2,192.168.1.3,445,34875,2451
ETOpenOpt,2024297,ET EXPLOIT ETERNALBLUE Exploit M2 MS17-010,85AF08D2,192.168.1.3,192.168.2.2,35325,445,17908
