PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.4.4,10.10.1.9,53,18547,46729
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.9,10.10.1.9,53,59880,27091
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.10,10.10.1.9,53,17293,9321
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.4.4,10.10.1.9,53,58456,46730
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.9,10.10.1.9,53,34321,27092
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.8.8,10.10.1.9,53,63713,44225
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.10,10.10.1.9,53,7554,9322
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.4.4,10.10.1.9,53,9063,46731
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.10,10.10.1.9,53,36692,9323
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.9,10.10.1.9,53,52399,27093
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.4.4,10.10.1.9,53,42281,46732
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.9,10.10.1.9,53,16533,27094
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.10,10.10.1.9,53,13803,9324
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.4.4,10.10.1.9,53,32720,46733
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.4.4,10.10.1.9,53,8464,46734
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.10,10.10.1.9,53,7905,9325
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.9,10.10.1.9,53,42485,27095
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.222,10.10.1.9,53,29283,22854
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.220.222,10.10.1.9,53,23858,37376
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.9,10.10.1.9,53,54406,27096
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.8.8,10.10.1.9,53,9158,44226
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.222,10.10.1.9,53,48445,22855
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.220.220,10.10.1.9,53,56809,47276
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.220,10.10.1.9,53,61575,24224
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.222,10.10.1.9,53,1572,22856
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.222,10.10.1.9,53,42076,22857
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,9.9.9.10,10.10.1.9,53,6697,9326
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,134.195.4.2,10.10.1.9,53,9562,37182
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.220.222,10.10.1.9,53,2789,37377
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.220,10.10.1.9,53,48896,24225
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.222,10.10.1.9,53,24047,22858
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,134.195.4.2,10.10.1.9,53,34369,37183
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,8.8.8.8,10.10.1.9,53,5776,44227
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,134.195.4.2,10.10.1.9,53,6936,37184
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.220,10.10.1.9,53,28713,24226
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.220.220,10.10.1.9,53,58227,47277
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.220.220,10.10.1.9,53,47939,47278
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.220,10.10.1.9,53,60528,24227
Community,402,"""PROTOCOL-ICMP destination unreachable port unreachable packet detected""",,208.67.222.222,10.10.1.9,53,15852,22859
