PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,8EA8E789,18.218.229.235,172.31.69.25,51115,80,32006
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,DDECD0E6,52.14.136.135,172.31.69.25,51596,80,11589
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,57B7387,18.219.5.43,172.31.69.25,51910,80,397
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,BDB4A99E,18.216.24.42,172.31.69.25,52144,80,12579
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,6C662E83,18.219.9.1,172.31.69.25,53316,80,19511
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,7AE156D8,18.218.11.51,172.31.69.25,52808,80,30896
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,F8643C47,18.218.55.126,172.31.69.25,53812,80,22544
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,627FA3B6,18.219.32.43,172.31.69.25,53820,80,19843
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,819F739,18.219.9.1,172.31.69.25,55168,80,28575
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,C73C1E82,18.219.32.43,172.31.69.25,54755,80,24530
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,9FC06801,18.219.5.43,172.31.69.25,55655,80,18851
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,A394AE65,18.219.5.43,172.31.69.25,56128,80,21051
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,C133A44F,18.218.115.60,172.31.69.25,56117,80,25668
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,B60AB902,52.14.136.135,172.31.69.25,57213,80,7321
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,F98E301F,52.14.136.135,172.31.69.25,57685,80,9546
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,2EF8D593,18.218.229.235,172.31.69.25,58195,80,1327
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,C422F6F0,18.218.229.235,172.31.69.25,58662,80,3837
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,F7D32ACE,18.218.229.235,172.31.69.25,59128,80,6021
ETOpen,2019348,ET DOS Terse HTTP GET Likely AnonMafiaIC DDoS tool,AEC0A65F,18.218.115.60,172.31.69.25,58786,80,6071
