PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43076
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43077
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43078
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43079
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43080
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43081
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43082
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43083
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43076
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43077
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43078
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43079
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43080
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43081
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43082
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43083
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.18,239.255.255.250,54706,1900,43076
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,,192.168.0.18,239.255.255.250,54706,1900,43076
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.18,239.255.255.250,54708,1900,43077
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.18,239.255.255.250,54706,1900,43078
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.18,239.255.255.250,54708,1900,43079
ETOpenOpt,2101917,GPL MISC UPnP service discover attempt,,192.168.0.18,239.255.255.250,54706,1900,43080
