PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43076
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43077
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43078
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43079
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43080
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43081
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43082
Community,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43083
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43076
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43077
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43078
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43079
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43080
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43081
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54706,1900,43082
Talos,1917,"""INDICATOR-SCAN UPnP service discover attempt""",,192.168.0.18,239.255.255.250,54708,1900,43083
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.110.52.32,172.16.17.2,0,0,40493
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.143.129.97,172.16.17.2,0,0,48408
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.100.95.7,172.16.17.2,0,0,20090
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.139.46.20,172.16.17.2,0,0,16024
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.105.92.106,172.16.17.2,0,0,28305
ETOpenOpt,2100528,GPL SCAN loopback traffic,,127.186.117.123,172.16.17.2,0,0,29915
