PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",2B63B999,10.10.1.9,10.10.1.2,1517,80,7734
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",79CF6FD1,10.10.1.9,10.10.1.2,1518,80,7735
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",4FA8EC9D,10.10.1.9,10.10.1.2,1519,80,7736
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",17550DA7,10.10.1.9,10.10.1.2,1520,80,7737
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",3DBBDE94,10.10.1.9,10.10.1.2,1521,80,7738
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",679BDD61,10.10.1.9,10.10.1.2,1522,80,7739
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",5EDEF9A1,10.10.1.9,10.10.1.2,1523,80,7740
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",1E1ED773,10.10.1.9,10.10.1.2,1524,80,7741
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",76265626,10.10.1.9,10.10.1.2,1525,80,7742
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",6A7C7B20,10.10.1.9,10.10.1.2,1526,80,7743
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",709FFEC8,10.10.1.9,10.10.1.2,1527,80,7744
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",52715C8C,10.10.1.9,10.10.1.2,1528,80,7745
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",4E80713F,10.10.1.9,10.10.1.2,1529,80,7746
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",322D548A,10.10.1.9,10.10.1.2,1530,80,7747
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",3F3A4FB5,10.10.1.9,10.10.1.2,1531,80,7748
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",27C1618D,10.10.1.9,10.10.1.2,1532,80,7749
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",43296E1E,10.10.1.9,10.10.1.2,1533,80,7750
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",2D88997B,10.10.1.9,10.10.1.2,1534,80,7751
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",68E90C79,10.10.1.9,10.10.1.2,1535,80,7752
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",2D89B6D,10.10.1.9,10.10.1.2,1536,80,7753
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",6F15691D,10.10.1.9,10.10.1.2,1537,80,7754
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",7E2572A5,10.10.1.9,10.10.1.2,1538,80,7755
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",5CB70C74,10.10.1.9,10.10.1.2,1539,80,7756
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",1FEF7364,10.10.1.9,10.10.1.2,1540,80,7757
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",2A4EBC60,10.10.1.9,10.10.1.2,1541,80,7758
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",1FBC2CD2,10.10.1.9,10.10.1.2,1542,80,7759
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",3F071A9D,10.10.1.9,10.10.1.2,1543,80,7760
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",724FFC26,10.10.1.9,10.10.1.2,1544,80,7761
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",16693,10.10.1.9,10.10.1.2,1545,80,7762
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",D896D1F,10.10.1.9,10.10.1.2,1546,80,7763
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",EADA79,10.10.1.9,10.10.1.2,1547,80,7764
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",5896839,10.10.1.9,10.10.1.2,1548,80,7765
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",1534862E,10.10.1.9,10.10.1.2,1549,80,7766
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",7F9520F5,10.10.1.9,10.10.1.2,1550,80,7767
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",5C004634,10.10.1.9,10.10.1.2,1551,80,7768
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",6831D47F,10.10.1.9,10.10.1.2,1552,80,7769
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",BC5A936,10.10.1.9,10.10.1.2,1553,80,7770
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",259ABDF8,10.10.1.9,10.10.1.2,1554,80,7771
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",53CFEA39,10.10.1.9,10.10.1.2,1555,80,7772
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",C8B841C,10.10.1.9,10.10.1.2,1556,80,7773
