PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,63D7912B,10.10.1.10,10.10.1.2,2303,80,26029
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,63D7912B,10.10.1.10,10.10.1.2,2303,80,26029
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,195BBE63,10.10.1.11,10.10.1.2,2463,80,41094
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,195BBE63,10.10.1.11,10.10.1.2,2463,80,41094
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,435654C7,10.10.1.12,10.10.1.2,2372,80,40046
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,435654C7,10.10.1.12,10.10.1.2,2372,80,40046
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,6CC1A482,10.10.1.13,10.10.1.2,1201,80,39295
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,6CC1A482,10.10.1.13,10.10.1.2,1201,80,39295
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,61D5EF6F,10.10.1.14,10.10.1.2,2186,80,43995
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,61D5EF6F,10.10.1.14,10.10.1.2,2186,80,43995
