PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",99FCB53B,192.168.1.3,192.168.2.2,45106,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",99FCB53B,192.168.1.3,192.168.2.2,45106,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",E221E0ED,192.168.1.3,192.168.2.2,45046,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",59FAA72B,192.168.1.3,192.168.2.2,45110,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",59FAA72B,192.168.1.3,192.168.2.2,45110,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",E221E0ED,192.168.1.3,192.168.2.2,45046,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",F7ED1FAC,192.168.1.3,192.168.2.2,45100,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",BCD89E4F,192.168.1.3,192.168.2.2,45174,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",BCD89E4F,192.168.1.3,192.168.2.2,45174,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",F7ED1FAC,192.168.1.3,192.168.2.2,45100,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",DA88F47D,192.168.1.3,192.168.2.2,45090,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",DA88F47D,192.168.1.3,192.168.2.2,45090,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",C4AD1C8A,192.168.1.3,192.168.2.2,45088,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",C4AD1C8A,192.168.1.3,192.168.2.2,45088,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",74F20061,192.168.1.3,192.168.2.2,45042,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",74F20061,192.168.1.3,192.168.2.2,45042,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",7A33F4F9,192.168.1.3,192.168.2.2,45044,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",7A33F4F9,192.168.1.3,192.168.2.2,45044,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",559811A5,192.168.1.3,192.168.2.2,45112,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",559811A5,192.168.1.3,192.168.2.2,45112,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",FE964DAE,192.168.1.3,192.168.2.2,45240,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",FE964DAE,192.168.1.3,192.168.2.2,45240,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",E1257AC3,192.168.1.3,192.168.2.2,45238,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",E1257AC3,192.168.1.3,192.168.2.2,45238,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",6362C9C9,192.168.1.3,192.168.2.2,45182,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",A2B6713,192.168.1.3,192.168.2.2,45236,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",A2B6713,192.168.1.3,192.168.2.2,45236,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",6362C9C9,192.168.1.3,192.168.2.2,45182,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",AE4741FD,192.168.1.3,192.168.2.2,45184,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",DDB55BCC,192.168.1.3,192.168.2.2,45234,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",DDB55BCC,192.168.1.3,192.168.2.2,45234,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",AE4741FD,192.168.1.3,192.168.2.2,45184,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",43C158AC,192.168.1.3,192.168.2.2,45232,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",43C158AC,192.168.1.3,192.168.2.2,45232,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",E01BF74C,192.168.1.3,192.168.2.2,45186,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",E01BF74C,192.168.1.3,192.168.2.2,45186,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",FCB8CA25,192.168.1.3,192.168.2.2,45230,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",FCB8CA25,192.168.1.3,192.168.2.2,45230,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",65A8D868,192.168.1.3,192.168.2.2,45188,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",65A8D868,192.168.1.3,192.168.2.2,45188,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",4C2ADD4C,192.168.1.3,192.168.2.2,45226,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",4C2ADD4C,192.168.1.3,192.168.2.2,45226,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",611CEA93,192.168.1.3,192.168.2.2,45190,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",611CEA93,192.168.1.3,192.168.2.2,45190,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",EDC7BEDB,192.168.1.3,192.168.2.2,45224,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",1EABBF2B,192.168.1.3,192.168.2.2,45192,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",1EABBF2B,192.168.1.3,192.168.2.2,45192,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",B7CBED4B,192.168.1.3,192.168.2.2,45222,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",B7CBED4B,192.168.1.3,192.168.2.2,45222,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",DF39DF90,192.168.1.3,192.168.2.2,45196,80,0
Community,40063,"""OS-LINUX Linux Kernel Challenge ACK provocation attempt""",DF39DF90,192.168.1.3,192.168.2.2,45196,80,0
