PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",65107998,18.217.165.70,172.31.69.25,37642,80,41938
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",965DC63D,18.217.165.70,172.31.69.25,37644,80,7293
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",29840A6A,18.217.165.70,172.31.69.25,37646,80,53296
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",42D38C1C,18.217.165.70,172.31.69.25,37648,80,22110
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",A32D5034,18.217.165.70,172.31.69.25,37650,80,35446
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",CD5FB010,18.217.165.70,172.31.69.25,37652,80,27210
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",C2D1BFA2,18.217.165.70,172.31.69.25,37654,80,26091
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",8E0AE7F4,18.217.165.70,172.31.69.25,37656,80,15805
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",AAFC14B6,18.217.165.70,172.31.69.25,37658,80,52991
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",4830DC80,18.217.165.70,172.31.69.25,37660,80,1593
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",91A1B297,18.217.165.70,172.31.69.25,37664,80,26848
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",C5D18547,18.217.165.70,172.31.69.25,37666,80,24336
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",F5D27FD3,18.217.165.70,172.31.69.25,37668,80,42396
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",3216A154,18.217.165.70,172.31.69.25,37670,80,31517
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",81BCF1F5,18.217.165.70,172.31.69.25,37672,80,11199
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",4F99DEBB,18.217.165.70,172.31.69.25,37674,80,1269
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",518E22C0,18.217.165.70,172.31.69.25,37676,80,63736
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",3C31E5AF,18.217.165.70,172.31.69.25,37678,80,16361
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",C353A7A5,18.217.165.70,172.31.69.25,37680,80,32239
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",F383BE48,18.217.165.70,172.31.69.25,37682,80,25616
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",16CE7967,18.217.165.70,172.31.69.25,37662,80,41776
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",62039574,18.217.165.70,172.31.69.25,37684,80,20284
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",C9832344,18.217.165.70,172.31.69.25,37688,80,63756
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",D7E60EAA,18.217.165.70,172.31.69.25,37686,80,54498
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",197DC4B2,18.217.165.70,172.31.69.25,37690,80,7933
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",C6705F74,18.217.165.70,172.31.69.25,37692,80,34107
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",C9666407,18.217.165.70,172.31.69.25,37694,80,48718
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",9481B5EE,18.217.165.70,172.31.69.25,37696,80,28585
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",8C782BD5,18.217.165.70,172.31.69.25,37698,80,61856
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",EA3997FB,18.217.165.70,172.31.69.25,37700,80,19890
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",B214A939,18.217.165.70,172.31.69.25,37702,80,29556
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",F2AFE1C6,18.217.165.70,172.31.69.25,37706,80,15249
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",3113D0DC,18.217.165.70,172.31.69.25,37704,80,2707
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",2BE3E955,18.217.165.70,172.31.69.25,37708,80,13088
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",BD8DC791,18.217.165.70,172.31.69.25,37710,80,7644
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",B32E953A,18.217.165.70,172.31.69.25,37712,80,20341
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",5FBF157A,18.217.165.70,172.31.69.25,37716,80,53045
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",671096AD,18.217.165.70,172.31.69.25,37714,80,19688
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",159ADCEB,18.217.165.70,172.31.69.25,37718,80,1698
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",F4893DCF,18.217.165.70,172.31.69.25,37720,80,59270
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",EA35D2D2,18.217.165.70,172.31.69.25,37722,80,2204
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",168D6C1,18.217.165.70,172.31.69.25,37724,80,3213
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",93AA8F31,18.217.165.70,172.31.69.25,37726,80,21885
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",BFED60A3,18.217.165.70,172.31.69.25,37728,80,47851
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",A2A897FB,18.217.165.70,172.31.69.25,37730,80,19891
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",8276D0D4,18.217.165.70,172.31.69.25,37732,80,2714
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",A1B25F62,18.217.165.70,172.31.69.25,37734,80,34092
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",86E58CF9,18.217.165.70,172.31.69.25,37736,80,22197
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",6A6E4663,18.217.165.70,172.31.69.25,37738,80,39979
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",4BE72C5F,18.217.165.70,172.31.69.25,37740,80,62999
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",3D010C05,18.217.165.70,172.31.69.25,37742,80,54865
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",AAD6915A,18.217.165.70,172.31.69.25,37744,80,19220
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",F604BBD7,18.217.165.70,172.31.69.25,37746,80,24991
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",1682A273,18.217.165.70,172.31.69.25,37748,80,30779
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",5277DFFA,18.217.165.70,172.31.69.25,37750,80,1460
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",1A8B8175,18.217.165.70,172.31.69.25,37752,80,23361
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",3DD2865E,18.217.165.70,172.31.69.25,37754,80,23571
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",EF34D15F,18.217.165.70,172.31.69.25,37756,80,2836
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",30487AD,18.217.165.70,172.31.69.25,37758,80,24034
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",97056079,18.217.165.70,172.31.69.25,37760,80,47670
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",272262D8,18.217.165.70,172.31.69.25,37762,80,47261
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",38F4DCB6,18.217.165.70,172.31.69.25,37764,80,1787
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",943C296A,18.217.165.70,172.31.69.25,37766,80,62246
Talos,15578,"""MALWARE-TOOLS Slowloris http DoS tool""",41A8E563,18.217.165.70,172.31.69.25,37768,80,16177
