PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,F20C8B50,18.219.211.138,172.31.69.25,46190,80,30796
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,BA7CB17D,18.219.211.138,172.31.69.25,46436,80,63693
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,A5E08EE2,18.219.211.138,172.31.69.25,46530,80,42002
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,7711CC83,18.219.211.138,172.31.69.25,46986,80,45969
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,6308EEFB,18.219.211.138,172.31.69.25,50948,80,27264
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,6216E7AB,18.219.211.138,172.31.69.25,51240,80,52326
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,B4AC4375,18.219.211.138,172.31.69.25,51334,80,17004
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,3D291F2A,18.219.211.138,172.31.69.25,52356,80,15235
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,480ACC3D,18.219.211.138,172.31.69.25,50382,80,59355
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,BAFE6441,18.219.211.138,172.31.69.25,54232,80,64767
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,63215AF1,18.219.211.138,172.31.69.25,54494,80,23454
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,DE5B77EC,18.219.211.138,172.31.69.25,55110,80,34258
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,ECE32789,18.219.211.138,172.31.69.25,56120,80,1960
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,4B10680C,18.219.211.138,172.31.69.25,56754,80,27655
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,696B2E8D,18.219.211.138,172.31.69.25,58464,80,52593
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,41B964F6,18.219.211.138,172.31.69.25,58950,80,62647
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,F00820B9,18.219.211.138,172.31.69.25,60104,80,60003
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,C68D3DC2,18.219.211.138,172.31.69.25,60524,80,56990
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,143C9AE4,18.219.211.138,172.31.69.25,60602,80,60016
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,54922968,18.219.211.138,172.31.69.25,34080,80,12263
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,480AEBC9,18.219.211.138,172.31.69.25,36338,80,52303
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,6C16ECCD,18.219.211.138,172.31.69.25,37026,80,39503
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,7F7D7774,18.219.211.138,172.31.69.25,37506,80,42643
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,1DA32078,18.219.211.138,172.31.69.25,37828,80,28112
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,C72501F1,18.219.211.138,172.31.69.25,40464,80,1358
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,2CEA9F77,18.219.211.138,172.31.69.25,40714,80,13723
ETOpen,2016898,ET INFO Suspicious MSIE 10 on Windows NT 5,4C440554,18.219.211.138,172.31.69.25,41880,80,5008
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,36B1F7B3,18.219.211.138,172.31.69.25,41930,80,62677
ETOpen,2016897,ET INFO Invalid User-Agent - MSIE 9 on Windows NT 5,27A47237,18.219.211.138,172.31.69.25,42058,80,13693
