PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2011039,ET WEB_SERVER Possible INSERT VALUES SQL Injection Attempt,65F2FDF9,172.16.1.2,172.16.2.2,39250,8080,55462
ETOpen,2006444,ET WEB_SERVER Possible SQL Injection Attempt INSERT INTO,65F2FDF9,172.16.1.2,172.16.2.2,39250,8080,55462
Talos,13513,"""SQL generic sql insert injection attempt - GET parameter""",,,,,,
Talos,50447,"""POLICY-OTHER HTTP request by IPv4 address attempt""",,,,,,
Talos,19438,"""SQL url ending in comment characters - possible sql injection attempt""",,,,,,
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,8C49BF4D,172.16.1.2,52.84.66.55,40158,443,44960
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,8C49BF4D,172.16.1.2,52.84.66.55,40158,443,44960
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,29918
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,29918
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,25676
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,25676
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,25676
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,25723
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,26084
ETOpenOpt,2011039,ET WEB_SERVER Possible INSERT VALUES SQL Injection Attempt,65F2FDF9,172.16.1.2,172.16.2.2,39250,8080,55462
ETOpenOpt,2006444,ET WEB_SERVER Possible SQL Injection Attempt INSERT INTO,65F2FDF9,172.16.1.2,172.16.2.2,39250,8080,55462
ETOpenOpt,2100472,GPL ICMP_INFO redirect host,4EA56B8E,172.16.2.2,64.4.54.254,41511,443,26663
